destination;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia (Plurinational State of);Bonaire, Sint Eustatius and Saba;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;China, Hong Kong Special Administrative Region;China, Macao Special Administrative Region;Colombia;Comoros;Congo;Cook Islands;Costa Rica;C?te d'Ivoire;Croatia;Cuba;Cura?ao;Cyprus;Czech Republic;Democratic People's Republic of Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy See;Honduras;Hungary;Iceland;India;Indonesia;Iran (Islamic Republic of);Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao People's Democratic Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia (Federated States of);Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;Republic of Korea;Republic of Moldova;R?union;Romania;Russian Federation;Rwanda;Saint Helena;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Sint Maarten (Dutch part);Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Sudan;Spain;Sri Lanka;State of Palestine;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;Thailand;The former Yugoslav Republic of Macedonia;Timor-Leste;Togo;Tokelau;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom of Great Britain and Northern Ireland;United Republic of Tanzania;United States of America;United States Virgin Islands;Uruguay;Uzbekistan;Vanuatu;Venezuela (Bolivarian Republic of);Viet Nam;Wallis and Futuna Islands;Western Sahara;Yemen;Zambia;Zimbabwe
Aruba;;;;;;;;;;;;;;;;;;;;;;;;;;212;;;;;;;;;;;;;;;;;;622;;;7043;;;;;;;;1751;;;;;;;125;3615;;;;;;;;;;;;;;;;;;;;;;;276;;;;;;297;1000;;;;;157;;;;;;;;715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3674;;;77;;;;;;;;;;;;939;754;;188;;;;;;;;;;;;;131;;;;;;;;;;500;;;;;;;;;;;1273;;;;;;;;;;;;;;11;;;;;;;;;681;;;;;2856;;;;;;
Australia;12590;1570;1180;120;20;410;;10;12050;990;30;;21660;150;270;770;8480;370;1350;5340;0;10;410;40;700;;28690;650;4760;0;2090;3030;0;0;0;24990;40;30240;0;0;10;;26100;144710;75450;2080;4000;;120;4620;360;50;58250;490;70;22840;13140;410;310;9940;90;0;60;1470;37620;10690;;1760;1970;3640;20;140;46690;9410;18130;0;380;0;0;310;119070;2160;460;130790;;90;0;30;320;0;10;530;60;;160;26120;590;90710;58670;21400;26500;53580;700;7390;234070;950;25300;3490;390;7200;470;2500;70;10470;7390;79050;20;100;1430;0;3860;170;160;550;84670;140;0;52620;10;20;0;18530;;1260;10;0;120;5340;;1370;640;12120;500;490;2000;92820;1240;365060;800;0;1820;470;0;4000;320;10950;;150;;390;5770;112210;66920;17990;120;260;36160;600;50;14220;16810;10;10;20;10;;70;13110;;;1530;230;52070;2820;260;34250;;6370;8660;1400;3740;80640;0;14160;58220;3080;4090;80;230;7140;12070;7340;10;23090;49560;0;0;300;8110;1420;500;34070;10;;100;1440;17030;1390;1130210;2010;59720;;10570;500;1090;1170;163720;;;390;3470;12110
Austria;5966;2177;893;;2;236;;5;1054;2111;;1723;;744;16;14;1894;14;1153;1782;28;55;13;18;352;;116023;18;3589;;4;10888;84;67;28;663;453;1761;;20;9;;870;12165;194;11;1086;;316;;124;148;54995;609;;224;38058;1947;485;982;5;35;2163;457;10304;47;7;72;258;883;;;12;1106;6205;;;18;435;2295;126680;1712;;2770;;10;;1;258;209;47;13;43;;68;18097;130;9394;841;10723;3823;683;;1774;23325;144;2055;518;763;680;;175;449;86;559;1275;3;189;319;261;629;528;52;27;334;6;68;76;;;23;80;;1046;1;18;1247;15115;;1333;47;49;127;1;406;5865;;306;144;22;5872;;;669;22;3331;1;43;41;158;1168;9589;42528;1192;4;18;;1231;;31368;21433;146;;2;10;;7;3;1;2;331;232;135065;30;185;199;;18802;15986;10;841;1933;;2853;679;191;440;14;17;2457;10935;2297;197;3879;15170;;151;;5;48;2554;110695;97;;9;189;5696;121;7622;109;7649;;195;522;5;633;2314;;;65;79;207
Azerbaijan;224;;;;;;;;;188400;;;;;;;;;554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;586;;;;;;;;;;;61708;344;;;;;;;;;;;;;;;;;;;1846;;;;;;;;;4370;;;;3084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;342;;;34703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;;;;;;;;;2560;2081;;;;3399;;;;;;;20549;;;;;;;;
Bahamas;;;;;;;;8;9;;;65;22;;;;;108;;20;13;;13;;;;;0;47;12;;0;;;;;;1351;9;;;;8;93;25;;33;;;;66;;;110;;;;;;37;;47;84;15;7;4;;;0;;;;;;141;;;;;;220;65;;55;;26;;;9;;;682;20628;;13;;;229;6;;;69;;;94;3773;39;;;5;;;;;;;;;;;;;;;;;;;;;;;;82;;;;;;;;;;;;30;;19;7;;93;;;10;;11;;14;;;39;143;9;9;;;;;;25;25;;;12;57;;22;;;;;;;;;;;;;;;88;;49;9;;;;0;32;156;;;;;;;;;321;;;;488;;0;0;;1705;;4300;;2;;;24;;;;;;0
Bahrain;258;;;;;;;;;;;;;;;;28889;;;;;;;;;;;;;;;;;;;;;;;;169;;;;;;;;;;;;;;;;;;;;;;;;25417;;;610;;430;;;;;180;;;;;;;;;;;;;;;;;;;;;;;88904;9152;;;;;;;;;4609;;;;2105;;;;875;;;;;;;;;;;;;;;;;;;;;;;;308;;;;;274;140;;;;;224;;;;;29683;;;;;;12508;;;;19;;;;;;;;;;;;;;;156;;;;;;;;;;410;;652;;4391;1843;5299;;;;;2139;;353;;;;;;;186;1553;;;;;;1952;1378;;545;;;;;;;;;7072;;
Bangladesh;;;;;;;;14840;;;;;;;;20661;;;;;;;;;;;;;10221;;;;;;;13455;;;;;;;;122691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22811;97476;;;;;;;;9618;;;;;;;60387;;;;;;;;;;;159993;;;;;;;;;;;;;;;;;131147;;;13051;;;;;;;;;9804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7569;;;;;;;;;;;;;;;;;;8386;;;;;;;;;;;;;;;23021;;31610;;;;;;18280;;;;;
Barbados;;;;;;;;267;;;;29;;;64;;;;;;0;;0;;;;;;;;;;;;;;;791;;;;;;0;;;;;;;;;;0;;;;;;;;534;;;;;;;;;;;;;;;;;;;;;;;;668;;;;;;3026;0;;;;;522;;;;;;;;736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3924;;4350;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;2070;;;;;;;;;3535;;1315;;;;;;;;;;;
Belarus;292;;55;;;;;;107;5944;;28;61;14000;;;;;;38;;;;;;;;;97;;;63;;;;;;160;;;;;;;;;;;;;;;;46;;;99;62;;206;;;;;;;;;3365;25;;;;2190;;;;;;8827;68;;;113;;;;;;;;;;;;354;;50;;51;;24;;402;24;;;30;72587;;;;5430;;10880;67;;;;;18039;;;;;;;;;;;;;;;;175;;;;;;;;;;;;;;;;;63;;49;;;;;;;495;;;;29;7895;;23;708011;;;;;;;;;;;;37;;;;;27;;;;;;37;;;;;;352;29;86;5892;;;;;;;;;25;5670;;;;234219;23;478;;90;;28;15344;;;381;;;33;;
Belgium;29;1306;8593;;;332;;;266;29;;608;1942;29;1;1;515;5;557;;;550;;57;239;;1884;7;1670;;;1014;284;525;124;158;1641;2239;;65;91;;1179;3737;;;794;;550;;58;555;691;276;;61;535;378;11017;3181;47;25;567;926;604;65;550;15;75;550;;;5;2738;106237;;;158;89;1123;33603;1397;;17448;;;;;966;605;33;19;232;;32;1020;123;3304;728;902;29;3262;;1582;196101;87;3628;29;29;234;;7;29;102;102;956;6;197;77;5;105;4162;250;12;184;1;139;236;;;531;787;;794;;5;40;1250;;103808;20;26;7;0;29;86307;;120;30;550;902;;;1161;1;1867;0;33;3;60;591;2980;6732;24911;;;29;167;;2324;2470;630;;;;;;;15;7;21;687;9507;10;550;462;;598;169;;550;625;;42133;120;12;106;59;;4267;1999;671;12;1651;1044;;550;;;;3513;54587;4;;;93;2202;;25850;102;11518;;59;29;;197;635;;;58;78;47
Belize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;487;;;;;;1094;50;;;;;;;;;;;;;;;;;;;;;6631;;;;;;;;;;;;;;;48;;;;;;;;16058;;;;38;;5436;;;265;;;;;;;;403;;;;;;;;;;38;;;;;;;;;;;;;;;;;;2539;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;288;;1914;;;;;;;;;;;
Benin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5421;;;;;;;;381;;;;;;;;1041;;;7489;;;;;;;;;;;;;;;;;;;;;;;979;;;;;;;5565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;703;;;;;;;;;;;;;;;;;;;;;;;41294;24306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26222;;;;;;;;;;;;;;;;;;;;;;;;;
Bermuda;;;;;;;;;;;;50;28;;;;;;;20;;;;;;;;;;;;;;;;;;2579;;;;;;170;;;;;;;;;;18;;;;;;28;;;13;;;;;;;;;;;;122;;;;;;234;46;;102;;;;;;;;71;1291;;;;;283;;;;94;;33;76;432;266;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;68;;;;;22;;;;;;192;28;1763;;;;;;19;;;;;;;;;;;;;;;;;;;;;;90;;109;;;;;;;119;;;;;;;;;47;;60;;113;;;;;4883;;3439;;;;;;;;;;;
Bhutan;;;;;;;;;;;;17;;;;;33;;;;;;;;;;;;;;;;;;;;;23;;;;;;570;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;19;;;;;;17;;;;;;;;;;;;;;;;;28128;;;;;;;8;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;451;13;;15;;;;;;;;14;;;;;;12;;;;;21;;;;;;;;;;;;;;;;;;;11;;;;;;;;;21;;;;;14;15;;;38;;;;;;;;;;;;;;;22;;85;;;;;;;;;;;
Bolivia (Plurinational State of);0;0;10;;0;4;;0;28095;1;4;154;166;2;0;1;16;0;4;368;922;0;1;;;33;0;;14801;;;16;;1;2;0;2;1672;;0;1;;4388;538;15;;1342;;5;;141;1;55;513;275;2;22;3;1;88;;0;0;738;27;107;;1;4;4;;;2;43;696;2;;0;;1;1682;2;2;8;;2;;;141;1;;7;7;;197;37;3;119;15;36;5;60;0;180;896;2;1493;13;2;9;;5;0;15;1;48;1;1;5;1;6;8;5;5;7;;0;2;;;0;;;9323;;0;1;0;;5;0;0;;;1;26;1;35;85;0;12;81;;0;1;29;;97;1;3236;9386;37;170;39;41;5;568;2;;0;1;1;;0;;0;;;;;6;0;0;0;0;6;79;11;8;0;0;0;;1641;5;0;0;1;;152;555;0;3;10;0;;2;;1;14;1;13;1;;;0;114;2;651;0;3656;;453;5;0;543;4;;;0;3;10
Bonaire, Sint Eustatius and Saba;;;;;;;534;1018;43;;3103;;;;139;;;451;;;;;;;;;;;;1748;;;;;;;;164;;;;;;74;185;;2495;;;;;;;1970;2253;;;;;;;101;8340;;;;;;;;;;;;184;6;;;;;;;;;;15;193;;;;;1235;3086;;;;;38;187;;;;;;75;1426;242;;;;;;;;;991;;;;;;;;;;;;;;193;;;;32;;;;;;;;;;;;6780;;11;;;;;;7;;;;;;;;;;967;73;;;;;;;;;541;2;;122;;;;;;;;;;282;;;;;;;46;;;;2305;;;;;;;;;;;;74;;;;;;;;;158;;1098;164;;;;1441;;;;;;
Bosnia and Herzegovina;;;;;;;;;;;;;273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33326;;;;;;;;;;;;;;;;;;;;;;217;;;;;;807;;;;;;;;;;;;;;;240;;;;;;;;;213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;424;185;;;;;;;;;;;;26662;;;;;6791;3363;;;;;;;;;;;;;;;;3783;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botswana;;;;;;1320;;;;;;114;;;;;;;;;;;;;;;;;;;;;;;;;;106;;;;;;1348;;;;;;;;;;;;;;;1261;104;;;;;;;;;;;;;;;;;;;;;341;;;;;;;;;;;;;;;;;3032;;;;190;;;165;;;;;254;;;;;;;1212;;;;;;238;1709;;;;;;;;700;;;;;;;;;441;;687;;;193;;;;;285;;;118;;223;;;;;;;;141;;;;;;;;;;;;;;;;;;;;95;;;;;;;;13860;;;613;;;;259;133;;;;;;;;;;;;;;;;570;;;993;1104;55;;;;;;;;;;4773;11763
Brazil;0;;;;;6355;;;27597;;;447;3220;;;;;;;1410;;;;;20437;;;;;;;283;;;;;;1256;;;;;17172;10326;;;4169;;;;239;;;1346;;;1158;;;453;;;102;1191;3400;481;;;;;;;;165;8402;624;;;;;19603;;;2743;;;;;158;;;1607;15;;136;2865;;762;;;;220;;1784;55164;57;71102;;;;;;;;;16128;;;;;;;;;;;;;;;;;;1261;;;;;;;1337;;;;;3508;;;501;;;;;143;;172;;559;;28891;10840;;7477;213713;;;;;;3534;6515;;;;;;;;;;;;;;;;;;;;;;;43708;;;;233;;716;2951;3293;;;;;;;;;;693;;;;;;;4044;;13981;;24799;;;2167;;;;;;
British Virgin Islands;;;;;;;;524;;;;16;;;18;;;127;;;;;;;;;;;;;;;;;;;;163;;;;;;;;;;;;;;;;;;;;;;;;836;1010;;;;;;;;;;;;16;;;;;;40;;;;;;;;;;;1136;;;;;;27;;;;;;;;368;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;146;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;;;;;;2100;371;;1414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;279;;;;;;;;;594;;910;;;;;;;;;;;
Brunei Darussalam;;;;;;;;;;;;482;;;;;1156;;;;;;;;;;;;;;;;;;;;;;;;;;;1926;482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2889;5778;;;;;;;;192;;;;;;;;;;;;;;;;;;45258;;;;;;;;;;;;;;;;;;;;5008;289;;192;;;;;;;;770;;;;;;12614;;;;;144;;;;;;;;;;;;;;;;;;;1445;;;;;;;;;1156;;;;;;;;;13482;;;;;;;;;;;;;;;1926;;144;;;;;;;;;;;
Bulgaria;223;528;178;;0;4;21;3;53;1150;3;66;98;923;2;4;278;2;307;181;1;15;0;13;10;;54;15;42;46;0;;6;9;4;9;4;111;1;;3;;10;524;;;10;;8;;3;3;42;132;;149;464;1;8;31;2;0;11;6;69;3;;2;27;34;;;1;28;267;;;6;5;157;998;6;4;2643;2;;;;3;6;3;2;3;;1;174;66;135;11;155;358;6;;169;511;3;61;105;452;6;3;47;41;0;58;379;;3;99;2;50;4;1;;1;1;0;16;0;;2;0;;12;;2;35;15;;41;14;;2;1;3;132;;12;19;4;45;;;43;1;27;;4;2;1;12;20;693;44;;4;53;1059;;2642;10972;1;;;;;;3;2;;15;4;1227;;0;4;;151;19;;2;61;;674;5;1;21;0;2;58;76;738;53;7;1476;;;0;1;;41;2010;115;2;8;3;3230;26;1324;9;565;;8;302;0;12;416;0;0;32;6;14
Burkina Faso;;;;;;;;;;;;;;;;;;;;;;3071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;383695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42260;;;;;;;;;;;;;;;;;;;;;;;10633;3801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2965;;;;;;;;;;;;;;;;;;;;;;;;;10415;;;;;;;;;;;;;;;;;;;;;;;;;
Burundi;;;;;;;;;;;;;;;;;;;;475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37951;;;;;;;;;;;;;;;;237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;949;;;;5692;;;;;;;;;;;;
Cabo Verde;;;;;;2209;;;10;;;;;;;;;;;24;;;;;;;;;130;;;;;;;;;;;;;;;51;;;;;;;;15;;115;;;;;;;;;;;;;;;;;;;;;172;;;17;12;;41;93;;;;;;;;99;1138;;;;;;;;;;;;;;305;;4;;;;;;;;;;;;;;;10;;;;;14;;;;;;;6;;;;;;;76;;;;;82;;;;;144;;;;;;;;;;4;;;929;;;;;;;92;;;;;;;;;3747;;627;;;32;;;;;;;;;50;;;;;;;29;;;;;17;;;;;;;;;;;46;;29;;275;39;;;;;;;;;;
