destination;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia (Plurinational State of);Bonaire, Sint Eustatius and Saba;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;China, Hong Kong Special Administrative Region;China, Macao Special Administrative Region;Colombia;Comoros;Congo;Cook Islands;Costa Rica;C?te d'Ivoire;Croatia;Cuba;Cura?ao;Cyprus;Czech Republic;Democratic People's Republic of Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy See;Honduras;Hungary;Iceland;India;Indonesia;Iran (Islamic Republic of);Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao People's Democratic Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia (Federated States of);Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;Republic of Korea;Republic of Moldova;R?union;Romania;Russian Federation;Rwanda;Saint Helena;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Sint Maarten (Dutch part);Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Sudan;Spain;Sri Lanka;State of Palestine;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;Thailand;The former Yugoslav Republic of Macedonia;Timor-Leste;Togo;Tokelau;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom of Great Britain and Northern Ireland;United Republic of Tanzania;United States of America;United States Virgin Islands;Uruguay;Uzbekistan;Vanuatu;Venezuela (Bolivarian Republic of);Viet Nam;Wallis and Futuna Islands;Western Sahara;Yemen;Zambia;Zimbabwe
Afghanistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32929;;;;;;;;;;;;;;;;;;;;;1646;;;;;;;;
Albania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46575;;;;;;;;;;;;;;;;;;;;;13113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;787;;;;;;;2892;;;;;;;;;3498;;;;;;;;;;;
Algeria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;556;;;;;;778;;;;;;;;;;;;;;;;;;1446;;7579;;;;740;;;2258;;;;1196;;;;1225;;;2325;;;;;;877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;802;;;;;;;;;;3926;;;;;;;;;;11570;;;;;31667;1597;;;;;3073;;;;;;;;;;;;;;;;;800;;1094;;;;;;;;165911;2366;;
American Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;229;;;;;;;;;;;;;;661;;;;;182;;;;;;;;;;;17642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;1142;;;;;;;;;;;;3578;;;;;;203;;;;;
Andorra;;;;;;;;;151;;;41;;;;;;;;241;;;;;;;;;;;;;;;;;;;;;;;58;;;;;;;;;;;;;;;;;138;;;;;;;;;;;;;;;4298;;;;;;355;;;;;;;;;;;;;;;;;;;;;;;;151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;471;;;;;;229;;;;;;;;;;;;;;;;297;;6771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26841;;;;;;49;74;;;;;;;;;;;;;;;;;;907;;89;;77;;;;;;;;;
Angola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4724;;;;;;16;;;;;;;;543;;;7;;;;;;;17735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;128;;457;;;;;;;;;;;;;;;;;;;;;7014;;;;;;;;183;;;;;;;;4121;;;;;;;;;;;;3226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;158;
Anguilla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;;;;;;;;;;;;;;;;;;;;;;;;;521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;309;;;;;;;;;;;;;;363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;320;;404;330;;;;;;;;;;
Antigua and Barbuda;;;;;;;32;;;;4;6;;;2;;;248;;;11;;11;;;9;;;;80;;;;;;;;356;;;;;;110;;;;;;;;;;17;16;;;;;;;3898;1466;;8;;;;;74;;;;;34;4;;;;;68;25;;;;158;62;;;;;5317;27;;6;;;65;;;;;;;59;3278;17;;;;;;;;;45;;;;;;;;;;;;;;4;;;;4;;;;;935;;;;;;;13;;10;;;33;;;;;0;;;;;;;;;44;;;;;;;;;391;556;;754;;;;;;;;;;19;;;;;37;;10;;;;37;;;;200;;;;;;;;591;;;;5;;;;;817;;2157;584;;;;32;;;;;;
Argentina;20;140;219;;1;20;;;;1178;1;575;2146;;;26;;16;637;1125;12;;;;226137;;;;32925;;2;618;24;;49;44;;1110;;;;;205945;7432;9;;3622;;88;;257;1;2067;2319;;99;3758;29;;514;;9;1434;2004;498;156;;;103;67;;;1;148;5996;;;;;;9671;;30;2136;34;23;;;201;1;;;86;;139;1710;18;205;45;288;77;137;;1169;210762;25;4550;152;;6;;;;593;258;1570;;;107;162;821;203;14;;6;;;4;;;;;;3040;9;21;;;;444;23;19;4;;;810;;22;190;1;89;;;123;;10;;338;;315086;85411;122;13338;9046;159;;7927;955;;2257;3951;;;;;;;;35;;167;;;;;4;;;1699;;4;264;;130356;6;;18;11;;428;1663;2284;;127;3123;;;;;71;95;1331;;;8;1;8036;;1978;1;9364;;113827;;18;2600;11;;;;1;3
Armenia;;;;;;;;;;;;;;525188;;;;;743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46779;766;;;2073;;;;;;;;;;;;;;;;11205;;;;;;;;;913;;;;;;;1310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3743;;;;;;;;;;2270;953;;;;3008;;;;;;;1335;;;;;;;;
