Country,code,immigration_2005,emmigration_2005,immigration_2000,emmigration_2000,immigration,emmigration,sold,population,norm_sold
Afghanistan,AFG,67045,3832305,60918,4539970,6127,-707665,713792,25654274,2783
Albania,ALB,57570,964621,68202,822676,-10632,141945,-152577,3011487,-5066
Algeria,DZA,235808,1590082,241786,1024745,-5978,565337,-571315,33149720,-1723
American_Samoa,ASM,23552,2733,24115,3300,-563,-567,4,59557,7
Andorra,AND,48526,5769,41238,5628,7288,141,7147,78871,9062
Angola,AGO,51477,679425,38485,870404,12992,-190979,203971,19433604,1050
Antigua_and_Barbuda,ATG,24408,54532,22746,48197,1662,6335,-4673,81462,-5736
Argentina,ARG,1613729,803384,1459713,551769,154016,251615,-97599,38892924,-250
Armenia,ARM,439319,889547,620649,865553,-181330,23994,-205324,2981262,-6887
Aruba,ABW,30144,12912,26897,10911,3247,2001,1246,100028,1246
Australia,AUS,4825070,428554,4337890,382411,487180,46143,441037,20394800,2163
Austria,AUT,1136270,509792,996547,473599,139723,36193,103530,8227829,1259
Azerbaijan,AZE,299730,1447042,325050,1628105,-25320,-181063,155743,8391850,1856
Bahamas,BHS,44923,33926,36041,33725,8882,201,8681,324848,2673
Bahrain,BHR,392112,49851,232683,47711,159429,2140,157289,889157,17690
Bangladesh,BGD,942533,5761972,775021,5432953,167512,329019,-161507,139035505,-116
Barbados,BRB,20652,92114,21831,94115,-1179,-2001,822,276320,298
Belarus,BLR,1106673,1593486,1123275,1697219,-16602,-103733,87131,9663915,902
Belgium,BEL,854807,440441,837472,399119,17335,41322,-23987,10478617,-228
Belize,BLZ,40138,50588,35321,47141,4817,3447,1370,283798,483
Benin,BEN,145428,400728,113401,320471,32027,80257,-48230,7982223,-604
Bermuda,BMU,17393,14693,16930,13873,463,820,-357,64154,-556
Bhutan,BTN,37191,117860,29673,120061,7518,-2201,9719,648744,1499
Bolivia_(Plurinational_State_of),BOL,105693,542685,91453,342847,14240,199838,-185598,9232301,-2010
Bosnia_and_Herzegovina,BIH,46518,1504970,81959,1468394,-35441,36576,-72017,3765332,-1912
Botswana,BWA,77166,30883,48400,26393,28766,4490,24276,1799077,1350
Brazil,BRA,622082,1211454,657613,963876,-35531,247578,-283109,186127108,-152
British_Virgin_Islands,VGB,11635,5869,10155,5430,1480,439,1041,23106,4506
Brunei_Darussalam,BRN,97457,44592,95333,44796,2124,-204,2328,365112,638
Bulgaria,BGR,59498,913736,41598,689584,17900,224152,-206252,7658972,-2692
Burkina_Faso,BFA,557720,1312941,485979,1234174,71741,78767,-7026,13421935,-52
Burundi,BDI,156940,616787,111921,738397,45019,-121610,166629,7364857,2263
Cambodia,KHM,109499,668456,140279,454941,-30780,213515,-244295,13273355,-1840
Cameroon,CMR,241660,211052,182879,161121,58781,49931,8850,17733408,50
Canada,CAN,6071889,1167051,5505346,1126223,566543,40828,525715,32243753,1631
Cape_Verde,CPV,11813,141382,10683,125299,1130,16083,-14953,463034,-3229
Cayman_Islands,CYM,21579,1268,19172,1259,2407,9,2398,49261,4868
Central_African_Republic,CAF,67223,131192,87922,55328,-20699,75864,-96563,4038380,-2391
Chad,TCD,342974,202231,98689,205856,244285,-3625,247910,10096630,2456
Chile,CHL,273384,537597,177332,506404,96052,31193,64859,16182713,401
China,CHN,548425,7192323,389735,5753739,158690,1438584,-1279894,1303720000,-98
Colombia,COL,106966,1865234,108894,1421921,-1928,443313,-445241,42647731,-1043
Comoros,COM,11783,96141,12310,70493,-527,25648,-26175,611625,-4279
Congo,COG,311670,165859,299391,129315,12279,36544,-24265,3622775,-669
Costa_Rica,CRI,197870,116365,300336,103973,-102466,12392,-114858,4285504,-2680
Cote_d'Ivoire,CIV,1949646,694953,1946601,540814,3045,154139,-151094,18354513,-823
Croatia,HRV,516819,853127,480163,874862,36656,-21735,58391,4310145,1355
