Country,code,immigration_2005,emmigration_2005,immigration_2000,emmigration_2000,immigration,emmigration,sold,population,norm_sold
Cuba,CUB,15197,1134021,15263,1027729,-66,106292,-106358,11261586,-944
Cyprus,CYP,116207,153671,79394,153273,36813,398,36415,1027657,3544
Czech_Republic,CZE,322540,633464,220789,399123,101751,234341,-132590,10211216,-1298
Dem._Rep._Korea,PRK,37144,88429,32202,72057,4942,16372,-11430,23904167,-47
Democratic_Republic_of_the_Congo,COD,493844,1080207,617393,831179,-123549,249028,-372577,54785894,-680
Denmark,DNK,440383,226904,371026,217817,69357,9087,60270,5419432,1113
Djibouti,DJI,86580,12207,94491,9039,-7911,3168,-11079,783248,-1414
Dominica,DMA,3958,63378,3225,47961,733,15417,-14684,70580,-20804
Dominican_Republic,DOM,371237,1002915,354141,880284,17096,122631,-105535,9097262,-1160
Ecuador,ECU,152503,978226,121958,438182,30545,540044,-509499,13825839,-3685
Egypt,EGY,262661,1898042,163927,1704547,98734,193495,-94761,75523576,-125
El_Salvador,SLV,35894,1090578,31586,928337,4308,162241,-157933,6052124,-2609
Equatorial_Guinea,GNQ,5325,67673,3650,55319,1675,12354,-10679,749527,-1424
Eritrea,ERI,12391,289428,11295,509988,1096,-220560,221656,2826653,7842
Estonia,EST,233186,151552,248999,142142,-15813,9410,-25223,1354775,-1861
Ethiopia,ETH,462542,519482,549918,442161,-87376,77321,-164697,76346310,-215
Faeroe_Islands,FRO,4372,12530,3426,12408,946,122,824,47731,1727
Fiji,FJI,10829,155666,11120,131130,-291,24536,-24827,821606,-3021
Finland,FIN,190386,303588,134418,315543,55968,-11955,67923,5246096,1295
France,FRA,6737600,1704260,6278718,1524179,458882,180081,278801,63179356,442
French_Polynesia,PYF,28086,2751,26321,4335,1765,-1584,3349,258780,1295
Gabon,GAB,208505,41071,190440,17885,18065,23186,-5121,1390550,-368
Gambia,GMB,176630,58835,177198,39930,-568,18905,-19473,1543745,-1261
Georgia,GEO,195345,886964,213606,967810,-18261,-80846,62585,3902469,1604
Germany,DEU,10131345,3571277,8658910,3336533,1472435,234744,1237691,82469422,1501
Ghana,GHA,286975,559317,179184,468283,107791,91034,16757,21814648,77
Gibraltar,GIB,7492,9666,6791,8436,701,1230,-529,33222,-1592
Greece,GRC,1190707,894262,1111665,984654,79042,-90392,169434,10987314,1543
Greenland,GRL,6533,14796,6629,13338,-96,1458,-1554,56935,-2729
Grenada,GRD,4557,63879,4355,63123,202,756,-554,104658,-529
Guam,GUM,72168,2684,71382,2840,786,-156,942,158406,595
Guatemala,GTM,57179,718266,48056,566298,9123,151968,-142845,12948292,-1103
Guinea,GIN,226466,370891,558348,350394,-331882,20497,-352379,9109585,-3868
Guinea-Bissau,GNB,19654,85078,18937,77537,717,7541,-6824,1344931,-507
Guyana,GUY,9984,386963,7580,358038,2404,28925,-26521,746156,-3554
Haiti,HTI,28304,957722,23992,792805,4312,164917,-160605,9195289,-1746
Honduras,HND,27737,438263,28320,335077,-583,103186,-103769,7458982,-1391
Hong_Kong,HKG,2524034,798530,2305464,683576,218570,114954,103616,6813200,1521
Hungary,HUN,359080,475138,290701,417766,68379,57372,11007,10087065,110
Iceland,ISL,25492,28803,15892,26077,9600,2726,6874,296734,2317
India,IND,5808175,9618008,6286286,7952368,-478111,1665640,-2143751,1147609924,-186
Indonesia,IDN,258386,2714252,262999,2334652,-4613,379600,-384213,226289468,-169
Iran_(Islamic_Republic_of),IRN,2288550,890688,2638875,825062,-350325,65626,-415951,69762345,-596
Iraq,IRQ,107373,1474569,188245,1161698,-80872,312871,-393743,26922279,-1462
Ireland,IRL,589046,768249,350552,817399,238494,-49150,287644,4159914,6915
Isle_of_Man,IMN,39596,8511,37337,7367,2259,1144,1115,80293,1389
Israel,ISR,1438993,314630,1532124,299659,-93131,14971,-108102,6930100,-1559
Italy,ITA,3954790,2772274,2121688,3103588,1833102,-331314,2164416,57969484,3734
Jamaica,JAM,21721,889364,22292,844604,-571,44760,-45331,2740000,-1654
Japan,JPN,1947221,717379,1648891,702688,298330,14691,283639,127773000,222
Jordan,JOR,2320998,434714,1925431,367275,395567,67439,328128,5765639,5692
Kazakhstan,KAZ,3102962,3793782,2871300,3566599,231662,227183,4479,15147029,30
Kenya,KEN,695958,343056,627427,307166,68531,35890,32641,36624897,90
Kiribati,KIR,2104,4062,1804,4047,300,15,285,92319,309
Kuwait,KWT,1267759,126441,1086284,112788,181475,13653,167822,2270196,7393
Kyrgyzstan,KGZ,305941,659877,380737,568216,-74796,91661,-166457,5162600,-3224
Lao_People's_Democratic_Republic,LAO,16455,889183,17760,643221,-1305,245962,-247267,5751675,-4299
Latvia,LVA,376725,273069,430178,238831,-53453,34238,-87691,2238799,-3916
Lebanon,LBN,754130,617206,689524,557494,64606,59712,4894,4698761,105
Lesotho,LSO,3769,144122,3699,120497,70,23625,-23555,1996115,-1180
Liberia,LBR,78219,361548,135072,262091,-56853,99457,-156310,3218114,-4857
Libya,LBY,625212,100543,567436,78675,57776,21868,35908,5798615,620
Liechtenstein,LIE,18533,2953,15389,2711,3144,242,2902,34718,8359
Lithuania,LTU,195223,417023,203547,350501,-8324,66522,-74846,3322528,-2252
Luxembourg,LUX,150391,46460,139438,32205,10953,14255,-3302,465158,-709
Macao,MAC,259447,115147,223878,101497,35569,13650,21919,482863,4540
Madagascar,MDG,19070,147845,17227,76309,1843,71536,-69693,18336722,-380
Malawi,MWI,173395,224606,181962,184770,-8567,39836,-48403,12625950,-383
Malaysia,MYS,1583398,1379806,1166948,1202246,416450,177560,238890,25690615,930
Maldives,MDV,42763,1762,26021,1196,16742,566,16176,319604,5062
Mali,MLI,187038,749255,138028,722660,49010,26595,22415,2060280,1088
Malta,MLT,24291,100120,21358,104661,2933,-4541,7474,12775509,59
Marshall_Islands,MHL,2148,6475,1684,6844,464,-369,833,106005199,1
Martinique,MTQ,55432,14610,52961,14197,2471,413,2058,1228254,168
Mauritania,MRT,56084,99141,55481,105587,603,-6446,7049,20493927,35
Mexico,MEX,710313,10515592,536112,9329236,174201,1186356,-1012155,347029862,-291
Micronesia_(Federated_States_of),FSM,997,18153,1052,16759,-55,1394,-1449,106135,-1365
Monaco,MCO,11149,18977,11614,5031,-465,13946,-14411,33842,-42583
Mongolia,MNG,10804,42301,7368,30535,3436,11766,-8330,614261,-1356
Montenegro,MNE,0,150072,0,181128,0,-31056,31056,48949931,64
Montserrat,MSR,1028,15703,997,16045,31,-342,373,3024198,13
Morocco,MAR,43587,2383043,42500,1947544,1087,435499,-434412,30455563,-1426
Mozambique,MOZ,128846,628282,113222,636775,15624,-8493,24117,56547,42650
Myanmar,MMR,72323,1715050,85376,1121782,-13053,593268,-606321,403834,-150141
Namibia,NAM,104029,59385,131616,48723,-27587,10662,-38249,1938316,-1973
Nauru,NRU,2075,1898,2206,1583,-131,315,-446,9848,-4528
Nepal,NPL,644651,1124981,680689,970932,-36038,154049,-190087,25744500,-738
Netherlands,NLD,1731449,809651,1552220,754428,179229,55223,124006,16319868,760
New_Caledonia,NCL,51014,5323,46612,4937,4402,386,4016,232250,1730
New_Zealand,NZL,803572,555134,645015,489183,158557,65951,92606,4133900,2241
Nicaragua,NIC,33219,429952,29063,496553,4156,-66601,70757,5438692,1301
Niger,NER,114444,257619,112419,193665,2025,63954,-61929,13624474,-454
Nigeria,NGA,581729,781350,437977,596678,143752,184672,-40920,138865014,-29
Northern_Mariana_Islands,MNP,36049,2730,38613,2772,-2564,-42,-2522,2526429,-99
Norway,NOR,351024,174767,278008,163412,73016,11355,61661,4623291,1334
Oman,OMN,638222,18117,596366,15606,41856,2511,39345,2511254,1567
Pakistan,PAK,3167999,3892485,4178579,3392645,-1010580,499840,-1510420,160304007,-942
Palau,PLW,5368,3427,5714,4009,-346,-582,236,19784,1193
Panama,PAN,116986,128894,82912,134702,34074,-5808,39882,3330222,1198
Papua_New_Guinea,PNG,28640,4310,23805,4460,4835,-150,4985,6494902,77
Paraguay,PRY,164176,544738,172346,374501,-8170,170237,-178407,5824095,-3063
Peru,PER,76449,977458,65323,691465,11126,285993,-274867,27866140,-986
Philippines,PHL,189210,3658551,233520,3031119,-44310,627432,-671742,86326251,-778
Poland,POL,699220,3006970,785539,2059493,-86319,947477,-1033796,38165445,-2708
Portugal,PRT,766605,1936053,646280,2174444,120325,-238391,358716,10503330,3416
Puerto_Rico,PRI,337632,1595883,344921,1562393,-7289,33490,-40779,3821362,-1067
Qatar,QAT,624746,17778,349667,14716,275079,3062,272017,865410,31433
Republic_of_Korea,KOR,463564,2015356,233371,1930230,230193,85126,145067,48184561,302
Republic_of_Moldova,MDA,168510,719070,240069,602885,-71559,116185,-187744,2888111,-6500
Romania,ROU,131038,2141681,112260,1135857,18778,1005824,-987046,21319685,-4629
Russian_Federation,RUS,11662954,10537457,11891623,10812562,-228669,-275105,46436,143518814,33
Rwanda,RWA,409872,287179,337752,321694,72120,-34515,106635,8840220,1207
Saint_Kitts_and_Nevis,KNA,3165,33520,2784,31121,381,2399,-2018,46852,-4307
Saint_Lucia,LCA,7449,46510,6415,39273,1034,7237,-6203,163408,-3796
Saint_Pierre_and_Miquelon,SPM,1127,428,1276,486,-149,-58,-91,7440769,-1
Saint_Vincent_and_the_Grenadines,VCT,4116,55213,4036,53175,80,2038,-1958,108617,-1802
Samoa,WSM,5339,98788,5682,94163,-343,4625,-4968,179722,-2764
San_Marino,SMR,4069,2912,3896,3503,173,-591,764,29324,2606
Sao_Tome_and_Principe,STP,3360,29440,4277,24849,-917,4591,-5508,157472,-3497
Saudi_Arabia,SAU,6283624,180318,5086745,153365,1196879,26953,1169926,23816175,4913
Senegal,SEN,201695,472297,197885,387983,3810,84314,-80504,11090123,-725
Serbia,SRB,844426,957622,856060,1132817,-11634,-175195,163561,7535931,2171
Seychelles,SYC,8568,9776,6095,9290,2473,486,1987,82858,2399
Sierra_Leone,SLE,148640,145835,97244,507998,51396,-362163,413559,5645629,7326
Singapore,SGP,1526620,226709,1218865,185913,307755,40796,266959,4265762,6259
Sint_Maarten_(Dutch_part),SXM,11985,23107,0,19733,11985,3374,8611,33011,26086
Slovakia,SVK,129931,276427,115885,251864,14046,24563,-10517,5372807,-195
Slovenia,SVN,197118,122550,170885,118740,26233,3810,22423,2000474,1121
Solomon_Islands,SLB,2836,3063,3711,2761,-875,302,-1177,469918,-250
Somalia,SOM,1159,1156111,555,1003535,604,152576,-151972,10446856,-1454
South_Africa,ZAF,1179704,617059,968186,510696,211518,106363,105155,47880595,220
South_Sudan,SSD,0,243075,0,342628,0,-99553,99553,31746502,314
Spain,ESP,4102922,1131590,1646790,1296623,2456132,-165033,2621165,43653155,6005
Sri_Lanka,LKA,37860,1139726,38504,980194,-644,159532,-160176,19544988,-819
State_of_Palestine,PSE,244345,2819156,253681,2666403,-9336,152753,-162089,3320396,-4881
Sudan,SDN,504726,1175176,767247,859202,-262521,315974,-578495,30949514,-1869
Suriname,SUR,19755,251863,16143,213169,3612,38694,-35082,499461,-7023
Swaziland,SWZ,22239,40531,19504,33647,2735,6884,-4149,1030575,-402
Sweden,SWE,1034109,270989,916621,257059,117488,13930,103558,9029572,1147
Switzerland,CHE,1696818,505392,1468417,367241,228401,138151,90250,7437115,1214
Syrian_Arab_Republic,SYR,551070,865419,296740,705114,254330,160305,94025,18361178,513
Tajikistan,TJK,280136,548308,298933,501267,-18797,47041,-65838,6789318,-969
Thailand,THA,2163055,631345,1257759,526580,905296,104765,800531,65416189,1224
The_former_Yugoslav_Republic_of_Macedonia,MKD,126296,461083,124336,530867,1960,-69784,71744,55257,129837
Timor-Leste,TLS,9930,94532,9327,148379,603,-53847,54450,995130,5472
Togo,TGO,184229,328522,124475,263575,59754,64947,-5193,5611643,-92
Tonga,TON,1212,48078,1039,46296,173,1782,-1609,100908,-1594
Trinidad_and_Tobago,TTO,40571,316883,37801,302802,2770,14081,-11311,1296497,-872
Tunisia,TUN,28474,575663,29634,480116,-1160,95547,-96707,10106778,-956
Turkey,TUR,1210738,2832573,1175736,2812148,35002,20425,14577,67903461,22
Turkmenistan,TKM,210315,230425,215691,224559,-5376,5866,-11242,4754652,-236
Turks_and_Caicos_Islands,TCA,8149,1236,7318,759,831,477,354,28181,1257
Tuvalu,TUV,142,2932,164,2601,-22,331,-353,9997,-3531
Uganda,UGA,649897,557002,631630,552537,18267,4465,13802,27684590,50
Ukraine,UKR,4694360,5592561,5137559,5607505,-443199,-14944,-428255,47105171,-909
United_Arab_Emirates,ARE,3183170,104870,2377888,110945,805282,-6075,811357,4588222,17684
United_Kingdom_of_Great_Britain_and_Northern_Ireland,GBR,5886598,4121654,4692050,3849649,1194548,272005,922543,60401206,1528
United_Republic_of_Tanzania,TZA,761657,238295,920393,219819,-158736,18476,-177212,38450323,-460
United_States_of_America,USA,36124882,2303555,32512463,1988212,3612419,315343,3297076,295516599,1116
United_States_Virgin_Islands,VIR,54504,3803,53509,4007,995,-204,1199,108453,1106
Uruguay,URY,76365,296415,81477,234865,-5112,61550,-66662,3321799,-2006
Uzbekistan,UZB,1246984,1762197,1323853,1606869,-76869,155328,-232197,26167000,-887
Vanuatu,VUT,1810,7454,1361,6459,449,995,-546,209282,-260
Venezuela_(Bolivarian_Republic_of),VEN,1070405,433708,1013437,317323,56968,116385,-59417,26432445,-224
Viet_Nam,VNM,47983,2061699,53376,1849385,-5393,212314,-217707,83832662,-259
Yemen,YEM,137832,631864,112692,528854,25140,103010,-77870,20107416,-387
Zambia,ZMB,227993,177782,315441,160100,-87448,17682,-105130,11856244,-886
Zimbabwe,ZWE,320377,409449,361939,310482,-41562,98967,-140529,12076697,-1163
