Country;code;immigration_1995;emmigration_1995;immigration_1990;emmigration_1990;immigration;emmigration;sold;population;norm_sold
Guinea;GIN;772910;365371;402236;352590;370674;12781;357893;7269631;4924
Guinea-Bissau;GNB;26883;67065;14726;55320;12157;11745;412;1088850;38
Guyana;GUY;5631;290543;3674;233660;1957;56883;-54926;761298;-7214
Haiti;HTI;20863;652701;17725;527307;3138;125394;-122256;7744509;-1578
Honduras;HND;149299;240281;270279;156553;-120980;83728;-204708;5709010;-3585
Hong_Kong;HKG;2152873;613929;2000265;551080;152608;62849;89759;6156100;1459
Hungary;HUN;313738;400679;336699;386934;-22961;13745;-36706;10328965;-355
Iceland;ISL;12738;21311;9584;17635;3154;3676;-522;267468;-195
India;IND;6824479;7208839;7362652;6718862;-538173;489977;-1028150;963922586;-106
Indonesia;IDN;318970;1948968;374951;1636326;-55981;312642;-368623;196934257;-187
Iran_(Islamic_Republic_of);IRN;2876948;739859;4290497;629895;-1413549;109964;-1523513;61442658;-2479
Iraq;IRQ;175951;1326446;63698;1506679;112253;-180233;292486;20149342;1452
Ireland;IRL;226892;858831;227961;917639;-1069;-58808;57739;3608841;1600
Isle_of_Man;IMN;35239;9003;33140;10735;2099;-1732;3831;72133;5312
Israel;ISR;1554408;286229;1489650;278956;64758;7273;57485;5545000;1037
Italy;ITA;1774954;3248808;1428219;3416421;346735;-167613;514348;56844303;905
Jamaica;JAM;20208;705014;18126;588820;2082;116194;-114112;2533705;-4503
Japan;JPN;1358965;646478;1065694;609032;293271;37446;255825;125472000;204
Jordan;JOR;1534882;337737;1144334;313737;390548;24000;366548;4588842;7988
Kazakhstan;KAZ;3245250;3309533;3619200;2972433;-373950;337100;-711050;15816243;-4495
Kenya;KEN;511762;266282;196730;242119;315032;24163;290869;27768297;1048
Kiribati;KIR;1746;4257;1691;4053;55;204;-149;77716;-191
Kuwait;KWT;893634;96404;1048104;81482;-154470;14922;-169392;1605907;-10548
Kyrgyzstan;KGZ;498613;552302;608720;522615;-110107;29687;-139794;4560400;-3065
Lao_People's_Democratic_Republic;LAO;20911;536903;22074;482094;-1163;54809;-55972;4846477;-1154
Latvia;LVA;538093;228925;646007;215165;-107914;13760;-121674;2485056;-4896
Lebanon;LBN;604819;528875;520116;507452;84703;21423;63280;3528379;1794
Lesotho;LSO;4024;137829;4469;191993;-445;-54164;53719;1898598;2830
Liberia;LBR;189728;547873;74599;516719;115129;31154;83975;2044657;4108
Libya;LBY;508041;77069;457075;76071;50966;998;49968;4948796;1010
Liechtenstein;LIE;13250;3067;10877;3464;2373;-397;2770;30884;8970
Lithuania;LTU;259880;344264;335946;341083;-76066;3181;-79247;3629102;-2183
Luxembourg;LUX;125818;29792;113439;27828;12379;1964;10415;408625;2549
Macao;MAC;209502;97896;191386;95648;18116;2248;15868;385517;4117
Madagascar;MDG;15499;66542;17503;58633;-2004;7909;-9913;13475403;-73
Malawi;MWI;189007;139034;1096822;121365;-907815;17669;-925484;9844418;-9401
Malaysia;MYS;843822;862043;609304;562617;234518;299426;-64908;20487604;-316
Maldives;MDV;17826;1692;8435;2192;9391;-500;9891;254144;3892
Mali;MLI;157515;789125;142919;647744;14596;141381;-126785;1983259;-6392
Malta;MLT;17594;109535;14979;110735;2615;-1200;3815;9585660;40
Marshall_Islands;MHL;1305;4058;1022;1433;283;2625;-2342;91663290;-2
Martinique;MTQ;44999;12602;37033;11041;7966;1561;6405;1122457;571
Mauritania;MRT;88054;151363;110227;134129;-22173;17234;-39407;15483277;-254
Mexico;MEX;456661;6723432;693754;4394684;-237093;2328748;-2565841;286096967;-896
Micronesia_(Federated_States_of);FSM;1127;11994;1242;7719;-115;4275;-4390;107535;-4082
Monaco;MCO;11581;4719;11565;4407;16;312;-296;30731;-963
Mongolia;MNG;6653;27493;6043;24155;610;3338;-2728;611712;-445
Montenegro;MNE;0;145926;0;78678;0;67248;-67248;43901598;-153
Montserrat;MSR;1325;11475;1652;7188;-327;4287;-4614;2313630;-199
Morocco;MAR;40348;1736731;43973;1588218;-3625;148513;-152138;26994255;-563
Mozambique;MOZ;91089;809063;58963;2218009;32126;-1408946;1441072;45872;3141507
Myanmar;MMR;99848;811036;120047;585288;-20199;225748;-245947;377419;-65165
Namibia;NAM;112236;28202;117404;16057;-5168;12145;-17313;1627866;-1063
Nauru;NRU;2400;1518;2598;1431;-198;87;-285;10626;-2682
Nepal;NPL;651911;855995;411030;748046;240881;107949;132932;21576074;617
Netherlands;NLD;1343094;734471;1180236;728810;162858;5661;157197;15459006;1017
New_Caledonia;NCL;40990;4606;35367;4151;5623;455;5168;193816;2667
New_Zealand;NZL;555116;416313;499649;388090;55467;28223;27244;3673400;742
Nicaragua;NIC;25561;431844;40112;442037;-14551;-10193;-4358;4652185;-93
Niger;NER;136035;165713;105305;132726;30730;32987;-2257;9490289;-23
Nigeria;NGA;361537;517620;299556;448460;61981;69160;-7179;107948339;-6
Northern_Mariana_Islands;MNP;31106;2655;25498;2525;5608;130;5478;2298017;239
Norway;NOR;223951;150543;186730;138537;37221;12006;25215;4359184;579
Oman;OMN;521084;13964;299352;12534;221732;1430;220302;2204267;9995
Pakistan;PAK;3665602;3338570;6203799;3341574;-2538197;-3004;-2535193;123776835;-2048
Palau;PLW;4568;3371;2695;2963;1873;408;1465;17158;8539
Panama;PAN;70440;130157;62485;134703;7955;-4546;12501;2739667;457
Papua_New_Guinea;PNG;31809;4122;31057;3015;752;1107;-355;5187063;-6
Paraguay;PRY;181196;335660;189434;297925;-8238;37735;-45973;4776838;-962
Peru;PER;55861;501266;63987;313595;-8126;187671;-195797;24299168;-805
Philippines;PHL;158916;2466796;128466;2029190;30450;437606;-407156;69784087;-583
Poland;POL;918272;1786908;1073550;1533306;-155278;253602;-408880;38594998;-1059
Portugal;PRT;528127;2097035;431537;2061193;96590;35842;60748;10026176;606
Puerto_Rico;PRI;328497;1360995;312915;1200835;15582;160160;-144578;3683103;-3925
Qatar;QAT;353830;13361;305265;12204;48565;1157;47408;513447;9234
Republic_of_Korea;KOR;118307;1777360;40921;1625595;77386;151765;-74379;45092991;-164
Republic_of_Moldova;MDA;355733;619654;527124;625810;-171391;-6156;-165235;2952307;-5596
Romania;ROU;122811;973383;126763;813087;-3952;160296;-164248;22684270;-724
Russian_Federation;RUS;11920139;11670272;11516298;12704537;403841;-1034265;1438106;148375787;970
Rwanda;RWA;210742;2065533;139650;550719;71092;1514814;-1443722;5836490;-24736
Saint_Kitts_and_Nevis;KNA;2014;25669;1521;20714;493;4955;-4462;42077;-10604
Saint_Lucia;LCA;4652;30365;3473;22006;1179;8359;-7180;146871;-4888
Saint_Pierre_and_Miquelon;SPM;1147;479;945;485;202;-6;208;7625357;3
Saint_Vincent_and_the_Grenadines;VCT;3874;45195;3718;37043;156;8152;-7996;108043;-7400
