Country,code,immigration_2010,emmigration_2010,immigration_2005,emmigration_2005,immigration,emmigration,sold,population,norm_sold,country_emm,max_emm,country_imm,max_imm
Barbados,BRB,19424,92135,20652,92114,-1228,21,-1249,282131,-442,United States of America,52759,Guyana,6277
Belarus,BLR,1090088,1478568,1106673,1593486,-16585,-114918,98333,9490583,1037,Russian Federation,749972,Russian Federation,688372
Belgium,BEL,1036630,489639,854807,440441,181823,49198,132625,10895586,1218,France,141648,Italy,164231
Belize,BLZ,44956,55112,40138,50588,4818,4524,294,322465,92,United States of America,46553,Guatemala,19995
Benin,BEN,177454,514448,145428,400728,32026,113720,-81694,9199254,-888,Nigeria,270089,Niger,64618
Bermuda,BMU,17857,15996,17393,14693,464,1303,-839,65124,-1288,United States of America,8095,United Kingdom of Great Britain and Northern Ireland,4008
Bhutan,BTN,44708,86206,37191,117860,7517,-31654,39171,685502,5715,Nepal,73598,India,42383
Bolivia_(Plurinational_State_of),BOL,119859,779035,105693,542685,14166,236350,-222184,10048597,-2211,Argentina,363142,Argentina,36671
Bosnia_and_Herzegovina,BIH,37841,1603536,46518,1504970,-8677,98566,-107243,3705478,-2894,Croatia,402318,Croatia,12849
Botswana,BWA,106209,44474,77166,30883,29043,13591,15452,1987106,778,South Africa,33112,South Africa,28048
Brazil,BRA,586789,1526897,622082,1211454,-35293,315443,-350736,195713637,-179,United States of America,335505,Portugal,136775
British_Virgin_Islands,VGB,13103,4519,11635,5869,1468,-1350,2818,27796,10139,United States Virgin Islands,2463,Saint Kitts and Nevis,2709
Brunei_Darussalam,BRN,99582,45414,97457,44592,2125,822,1303,388634,336,India,26333,Malaysia,47276
Bulgaria,BGR,74877,1136455,59498,913736,15379,222719,-207340,7395599,-2803,Turkey,475652,Russian Federation,17940
Burkina_Faso,BFA,629595,1389421,557720,1312941,71875,76480,-4605,15605211,-29,Cote d'Ivoire,1246597,Cote d'Ivoire,517165
Burundi,BDI,215702,280873,156940,616787,58762,-335914,394676,8675606,4550,United Republic of Tanzania,112009,Democratic Republic of the Congo,137611
Cambodia,KHM,78719,943305,109499,668456,-30780,274849,-305629,14312205,-2135,Thailand,611508,Viet Nam,40384
Cameroon,CMR,280209,279137,241660,211052,38549,68085,-29536,20341236,-145,France,75139,Central African Republic,97713
Canada,CAN,7003177,1229266,6071889,1167051,931288,62215,869073,34004889,2556,United States of America,826000,China,636401
Cape_Verde,CPV,12921,151080,11813,141382,1108,9698,-8590,492644,-1743,Portugal,52513,Guinea-Bissau,4829
Cayman_Islands,CYM,23985,1382,21579,1268,2406,114,2292,56672,4045,United Kingdom of Great Britain and Northern Ireland,814,Jamaica,9467
Central_African_Republic,CAF,66524,238718,67223,131192,-699,107526,-108225,4386765,-2467,Cameroon,97713,Sudan,22388
Chad,TCD,406162,197249,342974,202231,63188,-4982,68170,11952134,571,Sudan,71202,Sudan,293127
Chile,CHL,369436,564332,273384,537597,96052,26735,69317,17062531,407,Argentina,184687,Peru,152768
China,CHN,707128,8598028,548425,7192323,158703,1405705,-1247002,1337705000,-93,Hong Kong,2260045,Hong Kong,234829
Colombia,COL,123584,2492579,106966,1865234,16618,627345,-610727,45222699,-1350,Venezuela (Bolivarian Republic of),918949,Venezuela (Bolivarian Republic of),43511
Comoros,COM,11255,108553,11783,96141,-528,12412,-12940,689696,-1876,Mayotte,56520,Madagascar,9689
Congo,COG,411152,195848,311670,165859,99482,29989,69493,4273738,1627,France,64227,Democratic Republic of the Congo,252142
Costa_Rica,CRI,391708,128869,197870,116365,193838,12504,181334,4577371,3962,United States of America,86203,Nicaragua,287766
Cote_d'Ivoire,CIV,2018304,782205,1949646,694953,68658,87252,-18594,20532944,-90,Burkina Faso,517165,Burkina Faso,1246597
Croatia,HRV,553434,853824,516819,853127,36615,697,35918,4295427,837,Serbia,289781,Bosnia and Herzegovina,402318
Cuba,CUB,13880,1259441,15197,1134021,-1317,125420,-126737,11225833,-1128,United States of America,1003052,Spain,5024
Cyprus,CYP,186325,161305,116207,153671,70118,7634,62484,1112617,5616,United Kingdom of Great Britain and Northern Ireland,75498,United Kingdom of Great Britain and Northern Ireland,38844
Czech_Republic,CZE,397785,878343,322540,633464,75245,244879,-169634,10474410,-1619,Germany,525418,Ukraine,125343
Dem._Rep._Korea,PRK,42072,105807,37144,88429,4928,17378,-12450,24548840,-50,Kazakhstan,57915,China,25969
Democratic_Republic_of_the_Congo,COD,428440,1225390,493844,1080207,-65404,145183,-210587,64563853,-326,Congo,252142,Angola,260002
Denmark,DNK,509740,238234,440383,226904,69357,11330,58027,5547683,1046,Sweden,45548,Germany,35441
Djibouti,DJI,95499,13658,86580,12207,8919,1451,7468,840194,889,France,6075,Somalia,84118
Dominica,DMA,4664,71438,3958,63378,706,8060,-7354,70877,-10375,United States of America,33777,Haiti,1196
Dominican_Republic,DOM,385696,1147301,371237,1002915,14459,144386,-129927,9695117,-1340,United States of America,802001,Haiti,311969
Ecuador,ECU,276341,1134042,152503,978226,123838,155816,-31978,15011114,-213,Spain,496666,Colombia,192805
Egypt,EGY,283475,2607915,262661,1898042,20814,709873,-689059,82761244,-832,United Arab Emirates,755158,State of Palestine,126871
El_Salvador,SLV,40202,1278842,35894,1090578,4308,188264,-183956,6183877,-2974,United States of America,1133462,Honduras,11198
Equatorial_Guinea,GNQ,6996,78188,5325,67673,1671,10515,-8844,943640,-937,Gabon,51167,France,3649
Eritrea,ERI,13487,281115,12391,289428,1096,-8313,9409,3170437,297,Sudan,132187,Somalia,2415
Estonia,EST,217814,163390,233186,151552,-15372,11838,-27210,1331475,-2043,Russian Federation,57651,Russian Federation,154721
Ethiopia,ETH,510644,623998,462542,519482,48102,104516,-56414,87639962,-64,United States of America,145243,Somalia,361609
Faeroe_Islands,FRO,4837,12971,4372,12530,465,441,24,47803,51,Denmark,11158,Denmark,3341
Fiji,FJI,11627,182266,10829,155666,798,26600,-25802,859816,-3000,Australia,64000,Australia,1832
Finland,FIN,246266,292427,190386,303588,55880,-11161,67041,5363352,1250,Sweden,169521,Russian Federation,59355
France,FRA,7196481,1965318,6737600,1704260,458881,261058,197823,65027505,305,Spain,210047,Algeria,1322603
French_Polynesia,PYF,27588,1211,28086,2751,-498,-1540,1042,266449,392,Australia,490,France,22012
Gabon,GAB,237590,57948,208505,41071,29085,16877,12208,1624146,752,Mali,30825,Equatorial Guinea,51167
Gambia,GMB,180372,82182,176630,58835,3742,23347,-19605,1793199,-1093,Spain,18688,Senegal,114333
Georgia,GEO,178249,810207,195345,886964,-17096,-76757,59661,3786695,1576,Russian Federation,441793,Russian Federation,100314
Germany,DEU,11603711,3836419,10131345,3571277,1472366,265142,1207224,81776930,1477,United States of America,627569,Poland,1865829
Ghana,GHA,258896,694009,286975,559317,-28079,134692,-162771,24779614,-656,Nigeria,170637,Togo,73815
Gibraltar,GIB,8192,11650,7492,9666,700,1984,-1284,33585,-3823,United Kingdom of Great Britain and Northern Ireland,10643,United Kingdom of Great Britain and Northern Ireland,5317
Greece,GRC,1269749,821078,1190707,894262,79042,-73184,152226,11121341,1369,Germany,207894,Albania,446942
Greenland,GRL,6014,16253,6533,14796,-519,1457,-1976,56905,-3472,Denmark,15253,Denmark,5083
Grenada,GRD,4771,61704,4557,63879,214,-2175,2389,106227,2249,United States of America,31140,Trinidad and Tobago,2170
Guam,GUM,72950,2171,72168,2684,782,-513,1295,159439,813,Philippines,992,Philippines,29028
Guatemala,GTM,66302,884864,57179,718266,9123,166598,-157475,14259687,-1104,United States of America,777073,El Salvador,16691
Guinea,GIN,200224,402013,226466,370891,-26242,31122,-57364,10192168,-562,Cote d'Ivoire,91478,Mali,54950
Guinea-Bissau,GNB,20410,97257,19654,85078,756,12179,-11423,1522603,-750,Senegal,27726,Senegal,10455
Guyana,GUY,12378,423693,9984,386963,2394,36730,-34336,749430,-4581,United States of America,251829,Suriname,3920
Haiti,HTI,32604,1092025,28304,957722,4300,134303,-130003,9949318,-1306,United States of America,542091,Venezuela (Bolivarian Republic of),4616
Honduras,HND,27153,564110,27737,438263,-584,125847,-126431,8317467,-1520,United States of America,467515,El Salvador,6303
Hong_Kong,HKG,2748711,946452,2524034,798530,224677,147922,76755,7024200,1093,China,234829,China,2260045
Hungary,HUN,427420,551731,359080,475138,68340,76593,-8253,10000023,-82,Germany,166999,Romania,214976
Iceland,ISL,35091,33607,25492,28803,9599,4804,4795,318041,1508,Denmark,8794,Poland,10299
India,IND,5330039,13286337,5808175,9618008,-478136,3668329,-4146465,1234281163,-335,United Arab Emirates,2913802,Bangladesh,3289037
Indonesia,IDN,270353,3492456,258386,2714252,11967,778204,-766237,241834226,-316,Saudi Arabia,1070951,China,65307
Iran_(Islamic_Republic_of),IRN,2509220,1011021,2288550,890688,220670,120333,100337,73762519,137,United States of America,331030,Afghanistan,2372090
Iraq,IRQ,91594,2561482,107373,1474569,-15779,1086913,-1102692,29741977,-3707,Syrian Arab Republic,1012300,Iran (Islamic Republic of),17568
Ireland,IRL,730542,776575,589046,768249,141496,8326,133170,4560155,2921,United Kingdom of Great Britain and Northern Ireland,447993,United Kingdom of Great Britain and Northern Ireland,249392
Isle_of_Man,IMN,41377,10295,39596,8511,1781,1784,-3,84856,-3,United Kingdom of Great Britain and Northern Ireland,9426,United Kingdom of Great Britain and Northern Ireland,37521
Israel,ISR,1363316,330729,1438993,314630,-75677,16099,-91776,7623600,-1203,United States of America,134567,Morocco,158158
Italy,ITA,5787893,2670095,3954790,2772274,1833103,-102179,1935282,59277417,3265,Germany,400667,Romania,1021438
Jamaica,JAM,21153,960460,21721,889364,-568,71096,-71664,2810464,-2549,United States of America,641849,United States of America,6329
Japan,JPN,2064499,750677,1947221,717379,117278,33298,83980,128070000,66,United States of America,348399,China,687156
Jordan,JOR,2716659,599034,2320998,434714,395661,164320,231341,7261541,3186,Saudi Arabia,152257,State of Palestine,1760396
Kazakhstan,KAZ,3334623,3979923,3102962,3793782,231661,186141,45520,16321872,279,Russian Federation,2512343,Russian Federation,2211875
Kenya,KEN,867762,405031,695958,343056,171804,61975,109829,42030684,262,United Kingdom of Great Britain and Northern Ireland,134474,Somalia,398753
Kiribati,KIR,2407,4279,2104,4062,303,217,86,102930,84,New Zealand,1168,Nauru,1446
Kuwait,KWT,1765407,173992,1267759,126441,497648,47551,450097,2991884,15044,United Arab Emirates,56684,India,674184
Kyrgyzstan,KGZ,226524,743174,305941,659877,-79417,83297,-162714,5447900,-2986,Russian Federation,580279,Russian Federation,126580
Lao_People's_Democratic_Republic,LAO,17079,1187508,16455,889183,624,298325,-297701,6249168,-4763,Thailand,829240,Viet Nam,11078
Latvia,LVA,313786,311107,376725,273069,-62939,38038,-100977,2097555,-4814,Russian Federation,87715,Russian Federation,163606
Lebanon,LBN,818738,713494,754130,617206,64608,96288,-31680,4953064,-639,United States of America,118708,State of Palestine,530550
Lesotho,LSO,3840,225608,3769,144122,71,81486,-81415,1995575,-4079,South Africa,213763,South Africa,2544
Liberia,LBR,92870,259595,78219,361548,14651,-101953,116604,3891357,2997,Cote d'Ivoire,79389,Guinea,35375
Libya,LBY,683998,130833,625212,100543,58786,30290,28496,6197667,460,Italy,36216,State of Palestine,253786
Liechtenstein,LIE,21704,3429,18533,2953,3171,476,2695,35996,7487,Switzerland,2120,Switzerland,12215
Lithuania,LTU,160374,493032,195223,417023,-34849,76009,-110858,3097282,-3579,United Kingdom of Great Britain and Northern Ireland,104022,Russian Federation,70305
Luxembourg,LUX,162895,57589,150391,46460,12504,11129,1375,506953,272,Germany,20243,Portugal,62068
Macao,MAC,295655,130200,259447,115147,36208,15053,21155,538215,3931,Hong Kong,69830,China,261728
Madagascar,MDG,21151,158180,19070,147845,2081,10335,-8254,21151640,-39,France,111307,Comoros,9876
Malawi,MWI,170320,271159,173395,224606,-3075,46553,-49628,14539609,-341,Zimbabwe,103281,Mozambique,54826
Malaysia,MYS,2219148,1621937,1583398,1379806,635750,242131,393619,28208028,1396,Singapore,971827,Indonesia,1024344
Maldives,MDV,69571,2757,42763,1762,26808,995,25813,365730,7058,Sri Lanka,1474,Bangladesh,39774
Mali,MLI,223932,842729,187038,749255,36894,93474,-56580,15049352,-375,Cote d'Ivoire,342891,Gabon,30825
Malta,MLT,32304,97887,24291,100120,8013,-2233,10246,414508,2472,Australia,48680,United Kingdom of Great Britain and Northern Ireland,9684
Marshall_Islands,MHL,2749,6168,2148,6475,601,-307,908,56361,1612,United States of America,5764,United States of America,1346
Mauritania,MRT,56954,113398,56084,99141,870,14257,-13387,3494200,-383,Senegal,50090,Senegal,38381
Mexico,MEX,966873,11828349,710313,10515592,256560,1312757,-1056197,114092961,-925,United States of America,11566960,United States of America,741918
Micronesia_(Federated_States_of),FSM,972,19039,997,18153,-25,886,-911,102916,-885,Guam,10545,Palau,285
Monaco,MCO,10842,26488,11149,18977,-307,7511,-7818,35609,-21955,France,23063,France,6399
Mongolia,MNG,15510,58455,10804,42301,4706,16154,-11448,2719902,-420,Russian Federation,20748,China,8545
Montenegro,MNE,78125,131507,0,150072,78125,-18565,96690,619428,15610,Serbia,72867,Bosnia and Herzegovina,34300
Morocco,MAR,58819,2779496,43587,2383043,15232,396453,-381221,32343384,-1178,France,856493,France,26733
Mozambique,MOZ,144891,672976,128846,628282,16045,44694,-28649,23531567,-121,South Africa,379605,Malawi,74598
Myanmar,MMR,66565,2436388,72323,1715050,-5758,721338,-727096,50600827,-1436,Thailand,1648602,China,35082
Namibia,NAM,100198,93209,104029,59385,-3831,33824,-37655,2118877,-1777,South Africa,83326,Angola,37063
Nauru,NRU,1944,2160,2075,1898,-131,262,-393,10009,-3926,Kiribati,1446,Kiribati,888
Nepal,NPL,556029,1377299,644651,1124981,-88622,252318,-340940,27013207,-1262,India,563154,India,459935
Netherlands,NLD,1827558,903207,1731449,809651,96109,93556,2553,16615394,16,Germany,134651,Turkey,197219
New_Caledonia,NCL,55415,5783,51014,5323,4401,460,3941,249750,1578,French Polynesia,2235,France,36117
New_Zealand,NZL,908399,663809,803572,555134,104827,108675,-3848,4350700,-88,Australia,517810,United Kingdom of Great Britain and Northern Ireland,250997
Nicaragua,NIC,35536,598189,33219,429952,2317,168237,-165920,5824058,-2848,Costa Rica,287766,Honduras,11534
Niger,NER,116285,309431,114444,257619,1841,51812,-49971,16464025,-303,Nigeria,86504,Mali,44537
Nigeria,NGA,825990,984555,581729,781350,244261,203205,41056,158503203,26,United States of America,205519,Benin,270089
Northern_Mariana_Islands,MNP,23130,2617,36049,2730,-12919,-113,-12806,53971,-23727,Guam,2197,Philippines,12330
Norway,NOR,516976,182723,351024,174767,165952,7956,157996,4889252,3232,Sweden,43430,Poland,49518
Oman,OMN,783100,20784,638222,18117,144878,2667,142211,3041435,4676,State of Palestine,9426,India,473206
Pakistan,PAK,3938511,5018550,3167999,3892485,770512,1126065,-355553,179424643,-198,India,1147382,India,2023077
Palau,PLW,5141,2608,5368,3427,-227,-819,592,17954,3298,Guam,1437,Philippines,3047
Panama,PAN,156722,134756,116986,128894,39736,5862,33874,3642691,930,United States of America,102223,Colombia,47046
Papua_New_Guinea,PNG,24303,4302,28640,4310,-4337,-8,-4329,7310512,-59,New Zealand,1309,Australia,9056
Paraguay,PRY,156416,764256,164176,544738,-7760,219518,-227278,6248017,-3637,Argentina,588452,Brazil,75523
Peru,PER,82847,1312888,76449,977458,6398,335430,-329032,29027680,-1133,United States of America,407435,Argentina,10503
Philippines,PHL,153633,4656379,189210,3658551,-35577,997828,-1033405,93966784,-1099,United States of America,1751981,China,35398
Poland,POL,634946,4135816,699220,3006970,-64274,1128846,-1193120,38042794,-3136,Germany,1865829,Ukraine,214193
Portugal,PRT,759742,2098897,766605,1936053,-6863,162844,-169707,10573100,-1605,France,659295,Angola,137826
Puerto_Rico,PRI,287931,1648962,337632,1595883,-49701,53079,-102780,3721525,-2761,United States of America,1626078,United States of America,185814
Qatar,QAT,1406620,22307,624746,17778,781874,4529,777345,1856329,41876,State of Palestine,10211,India,540914
Republic_of_Korea,KOR,428440,2266276,463564,2015356,-35124,250920,-286044,49554112,-577,United States of America,1071527,China,490028
Republic_of_Moldova,MDA,152732,833095,168510,719070,-15778,114025,-129803,2861487,-4536,Russian Federation,288805,Ukraine,70622
Romania,ROU,143106,3356754,131038,2141681,12068,1215073,-1203005,20246871,-5941,Italy,1021438,Republic of Moldova,42976
Russian_Federation,RUS,11194137,10430967,11662954,10537457,-468817,-106490,-362327,142849468,-253,Ukraine,3265811,Ukraine,2978217
Rwanda,RWA,417680,328146,409872,287179,7808,40967,-33159,10039338,-330,Democratic Republic of the Congo,124070,Democratic Republic of the Congo,214283
Saint_Kitts_and_Nevis,KNA,3431,35945,3165,33520,266,2425,-2159,49011,-4405,United States of America,15424,Guyana,756
Saint_Lucia,LCA,7867,50686,7449,46510,418,4176,-3758,174092,-2158,United States of America,18871,Guyana,1867
Saint_Pierre_and_Miquelon,SPM,997,390,1127,428,-130,-38,-92,7291436,-1,Canada,287,France,745
Saint_Vincent_and_the_Grenadines,VCT,4202,55405,4116,55213,86,192,-106,108260,-97,United States of America,20919,Trinidad and Tobago,943
Samoa,WSM,4671,104004,5339,98788,-668,5216,-5884,185944,-3164,New Zealand,50946,American Samoa,1650
San_Marino,SMR,4192,2264,4069,2912,123,-648,771,31221,2470,Italy,1913,Italy,3829
Sao_Tome_and_Principe,STP,2640,30810,3360,29440,-720,1370,-2090,180372,-1158,Portugal,15804,Cabo Verde,1538
Saudi_Arabia,SAU,8147064,227479,6283624,180318,1863440,47161,1816279,27421468,6624,United States of America,33019,India,1579235
Senegal,SEN,215154,557134,201695,472297,13459,84837,-71378,12678143,-563,Gambia,114333,Mauritania,50090
Serbia,SRB,825407,875960,844426,957622,-19019,-81662,62643,9508372,659,Austria,166876,Bosnia and Herzegovina,343743
Seychelles,SYC,11053,10673,8568,9776,2485,897,1588,89770,1769,United Kingdom of Great Britain and Northern Ireland,3453,India,5788
Sierra_Leone,SLE,96482,134149,148640,145835,-52158,-11686,-40472,6415636,-630,United States of America,32880,Guinea,68669
Singapore,SGP,1919435,281520,1526620,226709,392815,54811,338004,5076732,6658,Malaysia,76095,Malaysia,971827
Sint_Maarten_(Dutch_part),SXM,23963,23346,11985,23107,11978,239,11739,34056,34470,Netherlands,21578,Dominican Republic,3403
Slovakia,SVK,145694,301524,129931,276427,15763,25097,-9334,5391428,-173,Czech Republic,70286,Czech Republic,73744
Slovenia,SVN,253392,130188,197118,122550,56274,7638,48636,2048583,2375,Germany,38414,Bosnia and Herzegovina,111632
Solomon_Islands,SLB,2148,3351,2836,3063,-688,288,-976,527861,-184,Australia,1940,Papua New Guinea,603
Somalia,SOM,1919,1595533,1159,1156111,760,439422,-438662,12043886,-3642,Kenya,398753,Ethiopia,1882
South_Africa,ZAF,1890854,740536,1179704,617059,711150,123477,587673,51216967,1148,United Kingdom of Great Britain and Northern Ireland,194701,Mozambique,379605
South_Sudan,SSD,255341,403896,0,243075,255341,160821,94520,35238631,269,Sudan,202948,Uganda,144466
Spain,ESP,6277672,1109449,4102922,1131590,2174750,-22141,2196891,46576897,4717,France,281430,Morocco,763735
Sri_Lanka,LKA,37190,1438103,37860,1139726,-670,298377,-299047,20261738,-1475,Saudi Arabia,338283,India,10529
State_of_Palestine,PSE,235008,3128484,244345,2819156,-9337,309328,-318665,3786161,-8416,Jordan,1760396,Israel,63515
Sudan,SDN,554541,1196493,504726,1175176,49815,21317,28498,34545014,83,Saudi Arabia,301500,South Sudan,202948
Suriname,SUR,23306,259813,19755,251863,3551,7950,-4399,529126,-831,Netherlands,187312,Guyana,11264
Swaziland,SWZ,24283,63655,22239,40531,2044,23124,-21080,1064841,-1979,South Africa,59752,South Africa,12067
Sweden,SWE,1292196,300795,1034109,270989,258087,29806,228281,9378126,2435,United States of America,45931,Finland,169521
Switzerland,CHE,1958346,639637,1696818,505392,261528,134245,127283,7824909,1627,Italy,198136,Germany,308470
Syrian_Arab_Republic,SYR,1271568,1094693,551070,865419,720498,229274,491224,21362541,2300,Saudi Arabia,515803,Iraq,1012300
Tajikistan,TJK,277849,587770,280136,548308,-2287,39462,-41749,7527397,-554,Russian Federation,457775,Russian Federation,239484
Thailand,THA,3223380,770069,2163055,631345,1060325,138724,921601,67195032,1372,United States of America,212387,Myanmar,1648602
The_former_Yugoslav_Republic_of_Macedonia,MKD,128286,479614,126296,461083,1990,18531,-16541,2070737,-798,Turkey,142389,Albania,70230
Timor-Leste,TLS,9679,34761,9930,94532,-251,-59771,59520,1093517,5443,Indonesia,20346,Indonesia,5501
Togo,TGO,235112,381618,184229,328522,50883,53096,-2213,6421674,-34,Nigeria,113334,Benin,67665
Tonga,TON,1417,50995,1212,48078,205,2917,-2712,103981,-2608,New Zealand,21630,Fiji,635
Trinidad_and_Tobago,TTO,40940,339229,40571,316883,369,22346,-21977,1328144,-1654,United States of America,228508,Guyana,9490
Tunisia,TUN,35123,606017,28474,575663,6649,30354,-23705,10635245,-222,France,359248,Algeria,8068
Turkey,TUR,1255160,2952422,1210738,2832573,44422,119849,-75427,72326992,-104,Germany,1600822,Bulgaria,475652
Turkmenistan,TKM,195437,238574,210315,230425,-14878,8149,-23027,5087211,-452,Russian Federation,182189,Uzbekistan,85650
Turks_and_Caicos_Islands,TCA,8981,1732,8149,1236,832,496,336,32658,1029,Bahamas,1426,Haiti,6605
Tuvalu,TUV,123,3276,142,2932,-19,344,-363,10521,-3450,New Zealand,1334,Fiji,53
Uganda,UGA,526101,701252,649897,557002,-123796,144250,-268046,32428164,-826,Kenya,326978,Democratic Republic of the Congo,166901
Ukraine,UKR,4479141,5497123,4694360,5592561,-215219,-95438,-119781,45870741,-261,Russian Federation,2978217,Russian Federation,3265811
United_Arab_Emirates,ARE,7094180,121530,3183170,104870,3911010,16660,3894350,8549998,45548,Kuwait,21472,India,2913802
United_Kingdom_of_Great_Britain_and_Northern_Ireland,GBR,7560559,4555299,5886598,4121654,1673961,433645,1240316,62766365,1977,Australia,1187150,India,691279
United_Republic_of_Tanzania,TZA,301574,265412,761657,238295,-460083,27117,-487200,44346532,-1098,Rwanda,43060,Burundi,112009
United_States_of_America,USA,40180172,2721712,36124882,2303555,4055290,418157,3637133,309327143,1176,Mexico,741918,Mexico,11566960
United_States_Virgin_Islands,VIR,55526,3287,54504,3803,1022,-516,1538,108357,1420,Grenada,696,United States of America,16851
Uruguay,URY,71777,332362,76365,296415,-4588,35947,-40535,3359273,-1206,Argentina,115039,Argentina,22275
Uzbekistan,UZB,1140101,1913257,1246984,1762197,-106883,151060,-257943,28562400,-903,Russian Federation,1125335,Russian Federation,913652
Vanuatu,VUT,2191,7939,1810,7454,381,485,-104,236216,-44,New Caledonia,4698,Australia,612
Venezuela_(Bolivarian_Republic_of),VEN,1331312,550420,1070405,433708,260907,116712,144195,28439942,508,United States of America,171960,Colombia,918949
Viet_Nam,VNM,57368,2306669,47983,2061699,9385,244970,-235585,87967655,-267,United States of America,1174884,Thailand,9570
Yemen,YEM,250376,880927,137832,631864,112544,249063,-136519,23154854,-589,Saudi Arabia,482400,Somalia,194393
Zambia,ZMB,130863,209456,227993,177782,-97130,31674,-128804,13605986,-946,South Africa,44090,Angola,37106
Zimbabwe,ZWE,286242,666407,320377,409449,-34135,256958,-291093,12697728,-2292,South Africa,324228,Mozambique,117799
