Country,code,immigration_2010,emmigration_2010,immigration_2005,emmigration_2005,immigration,emmigration,sold,population,norm_sold,country_emm,max_emm,country_imm,max_imm
Afghanistan,AFG,73174,5003276,67045,3832305,6129,1170971,-1164842,29185511,-3991,Iran (Islamic Republic of),2372090,Pakistan,47984
Albania,ALB,46939,1110296,57570,964621,-10631,145675,-156306,2913021,-5365,Italy,447510,Greece,32054
Algeria,DZA,229831,1633040,235808,1590082,-5977,42958,-48935,35977451,-136,France,1322603,Western Sahara,91905
American_Samoa,ASM,22991,1975,23552,2733,-561,-758,197,56084,352,Samoa,1650,Samoa,15842
Andorra,AND,49544,7120,48526,5769,1018,1351,-333,84454,-394,Spain,5578,Spain,25929
Angola,AGO,64461,619310,51477,679425,12984,-60115,73099,23356247,313,Democratic Republic of the Congo,260002,Democratic Republic of the Congo,30944
Antigua_and_Barbuda,ATG,26040,60397,24408,54532,1632,5865,-4233,88030,-4808,United States of America,25569,Guyana,6086
Argentina,ARG,1767689,933164,1613729,803384,153960,129780,24180,40788453,60,Spain,282555,Paraguay,588452
Armenia,ARM,194741,910093,439319,889547,-244578,20546,-265124,2877314,-9214,Russian Federation,517417,Azerbaijan,142156
Aruba,ABW,32780,14120,30144,12912,2636,1208,1428,101665,1405,United States of America,5322,Colombia,9279
Australia,AUS,5821210,487519,4825070,428554,996140,58965,937175,22031750,4254,United Kingdom of Great Britain and Northern Ireland,120868,United Kingdom of Great Britain and Northern Ireland,1187150
Austria,AUT,1275992,552251,1136270,509792,139722,42459,97263,8363404,1163,Germany,249001,Germany,191269
Azerbaijan,AZE,274411,1178793,299730,1447042,-25319,-268249,242930,9054332,2684,Russian Federation,752975,Armenia,155685
Bahamas,BHS,53806,34719,44923,33926,8883,793,8090,354936,2280,United States of America,28789,Haiti,25465
Bahrain,BHR,638094,53941,392112,49851,245982,4090,241892,1240864,19494,Bangladesh,28523,India,259915
Bangladesh,BGD,1110039,6748118,942533,5761972,167506,986146,-818640,147575433,-554,India,3289037,Malaysia,220878
