destination;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia (Plurinational State of);Bonaire, Sint Eustatius and Saba;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;China, Hong Kong Special Administrative Region;China, Macao Special Administrative Region;Colombia;Comoros;Congo;Cook Islands;Costa Rica;C?te d'Ivoire;Croatia;Cuba;Cura?ao;Cyprus;Czech Republic;Democratic People's Republic of Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy See;Honduras;Hungary;Iceland;India;Indonesia;Iran (Islamic Republic of);Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao People's Democratic Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia (Federated States of);Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;Republic of Korea;Republic of Moldova;R?union;Romania;Russian Federation;Rwanda;Saint Helena;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Sint Maarten (Dutch part);Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Sudan;Spain;Sri Lanka;State of Palestine;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;Thailand;The former Yugoslav Republic of Macedonia;Timor-Leste;Togo;Tokelau;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom of Great Britain and Northern Ireland;United Republic of Tanzania;United States of America;United States Virgin Islands;Uruguay;Uzbekistan;Vanuatu;Venezuela (Bolivarian Republic of);Viet Nam;Wallis and Futuna Islands;Western Sahara;Yemen;Zambia;Zimbabwe
Aruba;;;;;;;;;;;;;;;;;;;;;;;;;;249;;;;;;;;;;;;;;;;;;855;;;8243;;;;;;;;2063;;;;;;;115;3903;;;;;;;;;;;;;;;;;;;;;;;263;;;;;;289;1288;;;;;238;;;;;;;;719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4056;;;90;;;;;;;;;;;;1019;863;;174;;;;;;;;;;;;;120;;;;;;;;;;589;;;;;;;;;;;1285;;;;;;;;;;;;;;11;;;;;;;;;638;;;;;3074;;;;;;
Australia;18650;2300;1340;210;20;450;;0;13100;1110;40;;21040;300;260;1070;16130;380;1590;5810;10;20;480;110;780;;38440;980;7540;0;2570;3430;0;440;20;27640;120;36270;20;0;20;;26900;227610;79850;2110;5810;;690;5450;400;210;69530;640;90;22470;13730;450;370;10470;100;10;80;1690;38760;10760;;2290;1680;6120;20;120;54790;9510;21130;0;420;10;50;460;122990;2840;500;129020;;130;0;50;350;240;0;560;60;;220;24350;670;148970;60300;26720;37100;55730;770;9000;220570;1020;33120;4200;690;10890;530;3100;220;10610;6330;84910;50;1370;1570;0;3320;170;220;750;101410;270;10;51390;10;10;0;20340;;1840;10;20;220;4040;;1570;800;13340;770;600;3860;91600;1250;423580;770;0;2600;590;0;4390;840;16820;;170;;430;6700;134570;63280;18180;160;440;51160;820;130;15730;18120;180;10;30;30;;60;16620;;;2980;270;39280;2910;1560;43080;;6080;8770;1690;4500;114160;0;14310;70620;3260;18600;100;260;8580;13100;8280;60;31530;51330;10740;20;400;8720;1540;500;37460;30;;150;1910;16810;2790;1118810;2300;70550;;10780;790;1190;1600;174440;;;560;4530;21690
Austria;6668;2434;998;;2;264;;6;1178;2360;;1926;;832;18;16;2117;16;1289;1992;32;62;15;20;394;;124345;20;4012;;5;12170;94;75;32;741;506;1969;;23;10;;973;13655;217;13;1214;;354;;139;166;44600;681;;251;42540;2176;542;1098;6;39;2418;511;11518;53;8;81;289;987;;;14;1236;6935;;;20;487;2565;158975;1914;;3096;;12;;1;289;234;53;15;49;;76;28059;146;10501;940;11986;4273;763;;1983;24376;161;2297;579;853;760;;196;502;96;625;1425;4;212;356;292;703;590;58;30;373;7;77;85;;;26;89;;1169;1;20;1395;16895;;1490;52;55;142;1;454;6556;;343;161;25;6563;;;748;25;3724;1;48;46;177;1306;10718;49475;1333;5;20;;1376;;45724;23957;164;;2;11;;8;4;1;2;370;259;150971;34;207;222;;21016;15649;11;940;2161;;3189;759;214;492;16;19;2747;12223;2568;220;4336;16957;;169;;6;54;2855;134325;109;;10;212;6367;136;8519;122;8550;;218;584;6;708;2587;;;73;88;231
Azerbaijan;213;;;;;;;;;170050;;;;;;;;;525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;556;;;;;;;;;;;58561;327;;;;;;;;;;;;;;;;;;;1752;;;;;;;;;4147;;;;2927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;324;;;32933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;285;;;;;;;;;2429;1975;;;;3225;;;;;;;19501;;;;;;;;
Bahamas;;;;;;;;11;56;;;71;30;;;;;164;;24;27;;25;;;;;7;80;8;;10;;;;;;1399;15;;;;20;126;25;;106;;;;58;;;240;;;;;;26;;58;177;28;18;36;;;8;;;;;;137;;;;;;244;55;;70;;28;;;21;;;957;23047;;27;;;391;18;;;62;;;120;5349;36;;;12;;;;;;;;;;;;;;;;;;;;;;;;103;;;;;;;;;;;;40;;21;8;;121;;;11;;6;;31;;;165;587;14;12;;;;;;60;39;;;22;65;;30;;;;;;;;;;;;;;;92;;76;23;;;;6;30;220;;;;;;;;;341;;;;957;;6;9;;1772;;6587;;9;;;26;;;;;;7
Bahrain;392;;;;;;;;;;;;;;;;49900;;;;;;;;;;;;;;;;;;;;;;;;256;;;;;;;;;;;;;;;;;;;;;;;;41784;;;926;;565;;;;;693;;;;;;;;;;;;;;;;;;;;;;;157081;14859;;;;;;;;;7772;;;;3223;;;;1808;;;;;;;;;;;;;;;;;;;;;;;;439;;;;;1066;169;;;;;631;;;;;46931;;;;;;24672;;;;99;;;;;;;;;;;;;;;291;;;;;;;;;;512;;829;;6038;2795;6869;;;;;2743;;591;;;;;;;281;1984;;;;;;3429;1602;;771;;;;;;;;;10111;;
Bangladesh;;;;;;;;17664;;;;;;;;24592;;;;;;;;;;;;;12165;;;;;;;16015;;;;;;;;145405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27687;123383;;;;;;;;11317;;;;;;;71878;;;;;;;;;;;190436;;;;;;;;;;;;;;;;;160780;;;24995;;;;;;;;;11669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8316;;;;;;;;;;;;;;;;;;9181;;;;;;;;;;;;;;;27337;;37560;;;;;;22153;;;;;
Barbados;;;;;;;;225;;;;25;;;55;;;;;;15;;20;;;;;;;;;;;;;;;721;;;;;;30;;;;;;;;;;42;;;;;;;;426;;;;;;;;;;;;;;;;;;;;;;;;518;;;;;;4640;24;;;;;480;;;;;;;;839;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;2991;;3648;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;;1740;;;;;;;;;2955;;1147;;;;;;;;;;;
Belarus;281;;53;;;;;;103;5862;;27;59;13806;;;;;;37;;;;;;;;;93;;;61;;;;;;154;;;;;;;;;;;;;;;;45;;;95;60;;198;;;;;;;;;3232;24;;;;2104;;;;;;8705;65;;;109;;;;;;;;;;;;341;;48;;49;;23;;386;23;;;29;71580;;;;5355;;10450;64;;;;;17326;;;;;;;;;;;;;;;;168;;;;;;;;;;;;;;;;;61;;47;;;;;;;476;;;;28;7786;;22;698192;;;;;;;;;;;;36;;;;;26;;;;;;36;;;;;;338;28;83;5811;;;;;;;;;24;5592;;;;230971;22;460;;86;;27;15108;;;366;;;32;;
Belgium;1196;2078;7396;;;1621;;;401;2027;;662;2301;394;4;2;781;7;893;;;357;;88;297;;1376;10;2804;;;4126;401;1299;151;213;3430;2530;;97;142;;1084;6799;;;1252;;839;;80;1194;682;520;;150;1416;254;14399;3111;200;32;568;1654;858;89;9;44;336;440;;;6;2863;116072;;;241;138;814;35004;2493;;15472;;;;;95;1519;48;22;209;;45;2135;158;4824;990;2316;1155;3268;;1483;169649;104;3980;246;954;350;;6;476;123;420;1278;7;288;112;10;598;4135;342;24;285;1;223;158;;;430;670;;742;;7;143;17;;77908;30;56;10;0;579;104871;;172;47;405;1796;;;1284;5;2961;0;44;3;93;870;3089;19912;26605;;;318;405;;9234;7195;2744;;;;;;;19;10;33;1021;326;13;472;165;;1823;367;;620;736;;41538;255;135;215;101;;4194;1948;1170;30;2491;2120;;1194;;;;3272;39669;11;;;141;1848;;24478;145;10932;;80;787;;321;1008;;;55;106;80
