destination;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia (Plurinational State of);Bonaire, Sint Eustatius and Saba;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;China, Hong Kong Special Administrative Region;China, Macao Special Administrative Region;Colombia;Comoros;Congo;Cook Islands;Costa Rica;C?te d'Ivoire;Croatia;Cuba;Cura?ao;Cyprus;Czech Republic;Democratic People's Republic of Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy See;Honduras;Hungary;Iceland;India;Indonesia;Iran (Islamic Republic of);Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao People's Democratic Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia (Federated States of);Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;Republic of Korea;Republic of Moldova;R?union;Romania;Russian Federation;Rwanda;Saint Helena;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Sint Maarten (Dutch part);Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Sudan;Spain;Sri Lanka;State of Palestine;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;Thailand;The former Yugoslav Republic of Macedonia;Timor-Leste;Togo;Tokelau;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom of Great Britain and Northern Ireland;United Republic of Tanzania;United States of America;United States Virgin Islands;Uruguay;Uzbekistan;Vanuatu;Venezuela (Bolivarian Republic of);Viet Nam;Wallis and Futuna Islands;Western Sahara;Yemen;Zambia;Zimbabwe
Brunei Darussalam;;;;;;;;;;;;493;;;;;1182;;;;;;;;;;;;;;;;;;;;;;;;;;;1969;493;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2953;5907;;;;;;;;196;;;;;;;;;;;;;;;;;;46267;;;;;;;;;;;;;;;;;;;;5120;295;;196;;;;;;;;787;;;;;;12895;;;;;147;;;;;;;;;;;;;;;;;;;1477;;;;;;;;;1182;;;;;;;;;13782;;;;;;;;;;;;;;;1969;;147;;;;;;;;;;;
Bulgaria;260;824;279;;1;5;30;4;85;1308;4;103;149;1526;3;6;450;3;465;293;2;23;1;21;16;;80;21;66;66;1;;9;12;6;11;6;175;2;;4;;15;689;;;16;;9;;4;4;62;194;;196;689;18;11;46;3;1;16;9;100;5;;3;43;43;;;2;41;411;;;9;8;223;1529;8;6;3763;3;;;;5;8;4;3;4;;2;254;109;143;17;208;509;8;;251;791;5;88;133;705;9;4;74;63;1;91;496;;4;147;3;78;6;2;;2;2;1;26;1;;3;1;;18;;3;47;21;;59;20;;3;2;4;214;;17;24;3;59;;;69;2;34;;5;3;2;16;28;939;71;;6;43;1467;;4308;14768;2;;;;;;5;3;;24;7;1755;;1;6;;219;27;;3;96;;1109;7;1;29;1;3;89;119;989;86;10;1942;;;1;2;;60;2963;187;3;11;4;4526;43;2165;11;867;;12;488;1;19;518;0;0;39;9;21
Burkina Faso;;;;;;;;;;;;;;;;;;;;;;3540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;458125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37118;;;;;;;;;;;;;;;;;;;;;;;10807;4380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3417;;;;;;;;;;;;;;;;;;;;;;;;;13040;;;;;;;;;;;;;;;;;;;;;;;;;
Burundi;;;;;;;;;;;;;;;;;;;;466;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84099;;;;;;;;;;;;;;;;232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;805;;;;13732;;;;;;;;;;;;
Cabo Verde;;;;;;1283;;;7;;;;;;;;;;;17;;;;;;;;;203;;;;;;;;;;;;;;;37;;;;;;;;11;;99;;;;;;;;;;;;;;;;;;;;;183;;;13;9;;53;67;;;;;;;;249;2984;;;;;;;;;;;;;;349;;3;;;;;;;;;;;;;;;7;;;;;11;;;;;;;5;;;;;;;51;;;;;59;;;;;395;;;;;;;;;;4;;;1023;;;;;;;382;;;;;;;;;2698;;1025;;;23;;;;;;;;;94;;;;;;;21;;;;;13;;;;;;;;;;;34;;40;;307;54;;;;;;;;;;
Cambodia;;;;;;;;;;;;179;;;;;;;;;;;;;;;;;;;;;;;;;;66;;;;;;2340;179;;;;;;;;;;;;;66;;;;;;;;;;;;;;;;;424;;;;;;59;;;;;;;;;;;;;;;;;146;162;;;;;;23;;192;;;;;;;400;;;;;;;;;;;265;;;;;;;;;;;;;;;;;80;;;69;46;;;;;;;;;;63;;;;;;235;;;;;86;;;;46;;;;;;;;;;;;;;;189;;;;;;;;;73;;;;;;;;;47494;;;;;;;;;;;;;;;142;;301;;;;;;56174;;;;;
Cameroon;;;;;;2571;;;;;;;;;;;;;;;;2414;;;;;;;;;;;;;;;;179;;14607;70899;;;;;;;;2972;;;;;;;;;;4102;;;;;;;;3377;;;;;;;;4643;;;1061;;;296;;;193;;;;;;4605;;;;;;;;;;;;;;;511;;;;;;;;;;;;;4281;;;;;;;;;8251;;;;;;;;;;;;;;;;;;;160;;;;10566;101721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;256;;823;;;;;;;;;;;
Canada;30718;9642;34754;55;7;2486;103;2285;15923;2590;577;21053;19097;1960;1556;1681;33080;14688;7180;19853;1604;1191;2312;1111;3625;;29787;383;19215;105;4018;12985;793;4374;246;20565;5392;;230;256;668;;24756;508994;214333;5977;39330;109;1004;5;3416;3845;38510;9129;;3942;17965;355;14201;15986;943;2818;6737;12238;41983;39970;40;6173;5058;18889;;15;22701;11631;89277;62;131;681;368;1205;166471;18533;269;68502;31;9321;454;29;14401;2636;67;82392;66504;;5243;43689;561;424855;12039;95395;36851;27166;;19930;275657;119447;28340;7275;6361;22057;19;10982;1119;13739;6814;72255;95;1372;3961;27;5937;488;2635;529;21513;5;1188;8099;19;415;332;9627;0;61186;10;138;607;750;591;40230;982;5703;666;0;4820;104551;119;10167;8894;450;19968;;;5340;1031;116119;5;2458;399;6040;21778;351848;160218;141057;328;1361;102474;7202;196;69035;59964;3830;10;2192;4135;320;10317;85;5;10;15696;3556;15576;936;1674;10381;;11513;8496;17;20528;38430;;9876;107923;6362;10205;835;235;7150;19811;18396;574;11281;8115;19;1563;;95;63760;8320;21346;256;40;5;11032;57232;10402;559313;18937;273338;45;6280;3063;10;12434;151603;12;;1450;2813;6795
Cayman Islands;;;;;;;;;13;;;125;50;;181;;;189;;13;342;;33;;;;;;70;;;;;;;;;1366;;;;15;;;;;310;;;;203;;;726;13;;;;;19;;;65;;;;;;;;;;;11;38;;;;;;133;;;;;17;;;;;;253;19;;1232;;;340;;11;;236;;13;90;8468;21;;;36;;;;;;;;;;;;;;;19;;;;;;;;;40;;;;;;;;;;;;38;;56;569;29;11;;;;;108;;133;;;15;921;;;47;;;;;;;;;;11;;31;;;;;;;;;;;;;;;38;;29;;;;;;;79;;;54;;;;;;327;;;;;;;;;2058;15;2234;;;;;36;;;;;11;19
Central African Republic;;;;;;;;;;;;12;24;;;;;;;;;;;;;;;;0;;;;;;;;;215;;;11609;;;;;;;;;;;;;;;8;;;19930;2;;;;;44;;;;;;;;;;11091;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;77;;;;;;;;;;;;;;;;;;;;;;349;;;;;;;;;;;;;;;;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;158;;;;;;;;;85;;;;;;;;;50;;;61;0;;;;22623;;;14;168;;;;;;10;;;;;8;;;;;;;;;635;;;;;;;;;;;
Chad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25156;;;63510;;;;;;;;;580;;;;;;;;;;209;;;;;;;;;;;;;;;;719;;;237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;890;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2121;2027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;247525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Channel Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1371;;;;;;;;;;;;;;;;;;;;;;;;;;;2731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56412;;;;;;;;;;;;;
Chile;12;20;36;;8;45;12;10;57003;9;3;792;424;2;1;2;5;3;5;671;2;1;4;3;19148;;9;4;8993;0;0;74;1;1;1;3;5;1467;1;2;14;;;4001;42;8;9898;1;10;2;369;8;304;2420;;10;117;5;10;185;0;23;220;15437;64;185;2;2;36;4;2;2;8;107;2515;2;5;4;2;2;6382;6;4;155;4;4;6;3;179;3;2;12;37;2;190;262;9;438;69;65;18;103;;429;2999;17;647;68;6;16;;8;3;1;28;163;9;4;18;2;14;12;8;2;20;1;72;12;;4;1;2;1;1379;1;8;1;;1;69;38;1;5;6;8;520;3;113;190;9;16;4;6;272;4;128;2;409;3;972;94114;160;353;200;147;22;851;8;2;286;470;4;266;10;49;2;4;;2;9;14;5;;;1;48;;42;32;0;9;6345;;7012;6;559;3;2;2;997;821;243;2;29;323;;16;;219;9;13;205;2;2;;2;128;4;6328;8;6373;1;1815;3;1;3279;9;1;3;;4;9
China;;;;;;;;;;;;4153;;;;;3193;;;;;;;;;;;;59028;;;;;;;;;6856;;;;;;;118990;16943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7126;31573;;;;;;;;5424;;;;;;;;;;;;;;;;;;4871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3499;;;;;10713;58059;;;;;148413;;;;2355;;;;;;;;;;;;;;;;;;;;;;;;4319;;;;;;;;;12071;;;;;;;;;;;;;;;7238;;21277;;;;;;22324;;;;;
China, Hong Kong Special Administrative Region;;;;;;;;;;;;8195;;;;;400;;;;;;;;;;;;;;;;;;;;;14797;;;;;;2070537;;64994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1978;;;;;;1778;;;;;;;;;;;;;;;;;16228;121316;;;627;;;579;;12786;;;;;;;;;;;;;;;;;;13766;;;;;;;;;;;;;;;;;;;;8413;919;;2026;;;;;;;;6809;;;;;;106282;;98;;;4355;;;;79;;;;;;;;;;;;;;;8905;;;;;;;;362;705;;;;;;655;;;17299;;;;;;;;;;;;;;;15924;;13370;;;;;;9852;;;;;
China, Macao Special Administrative Region;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;230183;17762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8769;;1717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1016;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colombia;96;43;20;;38;45;35;33;2562;;255;182;187;;;;;;;357;;;;;660;;;;1873;;;69;;;;;;782;;;;;1679;1588;29;;;;;;832;;47;1451;75;;46;153;;75;;41;321;11617;124;310;;;17;;;;;41;1712;;;;;;2040;;;103;;;;;357;;;16;95;;283;121;;114;69;91;24;104;;416;2343;56;575;160;;;;21;;;16;973;;;;;37;19;;;;;;;;;;;;2255;;;;;;60;;;;;;308;;43;467;;38;;;66;;35;;1743;;185;3909;75;253;99;447;;210;;;225;538;;;;;;;;;;63;;;;;;19;;24;;;45;;5428;;;;;;152;570;289;;;;;;;;34;;44;;;;;188;34;1004;;15025;;354;;172;37137;;;;;;
Comoros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81;;;;;;;;;;;;;10142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153;;;;;;;;;;;;
Congo;;;;;;15550;;;;;;;;;;;;;;;;7171;;;;;;;;;;;;;;;3570;;;14620;3338;;;292;;;;;;;;;;169;;;;;230684;;;;;;;;500;;;;;;;;3260;;;1000;;;183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;369;;;;;;;;;;;10715;;;;994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;455;;;;;;;814;7936;;;;;;;;;;9227;;;;;;;;;;;;;;;;;;;;;;;;;770;;;;;;;;;;;;;;53;;;;;;;;;;;
Cook Islands;;;;;;;;;;;;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;111;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;2329;;;;13;;;;;;;14;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;;24;;;;;;;;;;;
Costa Rica;2;2;6;;;1;;;734;3;16;33;64;1;6;1;1;5;3;146;69;1;5;2;185;;;;272;;;35;;;;1;5;704;4;3;;56;869;146;1641;1;7703;;4;;;1;12;2876;;1;;18;1;32;;3;549;636;5;6446;;;1;1;;;1;11;436;6;;1;;6;933;1;2;17;4;4;;3;1329;;;14;35;;1961;37;1;27;9;50;7;15;;85;1065;109;142;5;3;4;;;;2;1;44;;;5;2;5;7;1;;2;1;;;;2;;;;1549;;1;7;;2;2;2;6;;;4;293;;9;148064;;1;;;38;1;5;;6201;;41;1891;69;151;39;178;1;127;2;;50;299;1;;1;1;1;1;;;;7;1;;;;4;;11;;;1;29;;1081;1;;1;10;1;68;336;5;;3;13;;;;;17;2;4;;;;5;78;;260;2;6332;3;157;1;;690;1;;;;;1
C?te d'Ivoire;;;;;;;;;;;;;;;;;;;;;;51984;;;;;;;;;;;1162273;;280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;361;;;52935;;;;;;;;101514;315;;;;;;;;;;;;;;;;;;;;;;;;;;;58220;3961;;;;;;;;363010;;;;8241;;;;;;;;;;;;;;;;;;;48659;35940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19599;;;633;;;;;;;;;;;;;;;;;;;;;;41721;;;;;;;;;;;;;;;;;;;;;;;;;
Croatia;;165;28;;;;;;185;;;1169;3288;;;;;;47;285;;;;;16;;416359;;148;;;283;;;;;;706;;;;;106;222;;;23;;;;;;;;;;877;;;64;;;;;123;;;;13;;;;;32;1075;;;;;;20667;;;137;;;;;;;;;;;;1004;;34;14;24;41;32;;28;2365;;28;34;34;;;;;;24;33;;;75;;22;22;;;;;;;;;;;;27;;;;3071;;15;;;;;;523;;85;;;15;;;71;;;;;;;63;38;664;38;;;14;57;;405;652;;;;;;;;;;;;25928;;;;;585;20094;;;101;;123;;22;33;;;434;1851;90;;;9865;;;;;;;43;;;;;377;;419;;1221;;;;;40;;;;;23;
Cuba;;125;53;;;112;;;191;;;;;;;;;;;;;;;;66;;;;;;;152;;;;;;69;;;;;202;337;;;181;;;;;;;;;;209;;;;;;137;69;;;;;;;;;;;168;;;;;;386;;;;100;92;;;78;;;;1061;;;79;;;;;;;;;253;336;;;;;;;;;;64;;;;;;;;;;;;;;;;;;457;;;;;;;;;;;;;;;306;;;;;;;;;94;;;98;;108;;140;;;;;78;2308;;;;;;;;;;;;;;;;;;;;;;;5499;;;;;;;;;;;;;;;;;;;;;;;702;;57;;609;;;;;221;;;;;;
Cura?ao;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cyprus;6;185;24;0;;;;;56;782;;1983;236;24;0;72;433;;226;174;0;6;0;;7;;45;6;39;;3;4097;;3;;0;38;1002;;10;;;32;1065;;;84;;;;3;;56;24;;;449;22;455;112;3;0;7;6;3451;7;;3;19;54;;;3;329;610;0;;;;10173;1729;56;3;15780;;;;;0;0;;;3;;3;230;22;1830;115;801;209;517;;255;321;10;56;294;158;56;;155;16;3;109;1832;;;152;;62;7;6;6;30;;;22;;0;;7;;42;;;;;;42;7;30;3;;38;321;;62;7;6;203;;;133;42;346;;13;;6;22;4796;471;42;3;7;6;626;;3599;8655;0;;;;;0;;;;155;6;1686;6;3;22;;91;10;;7;3305;;104;6573;241;346;3;;607;251;2168;6;174;13;;;;;10;24;407;7;;;13;2181;101;24227;97;2116;;3;49;;42;42;;;10;91;203
Czech Republic;221;184;408;;4;129;;2;133;1305;;269;3043;406;;15;70;4;2344;419;1;28;2;2;49;;1713;40;188;;;4421;8;2;9;15;44;409;;1;6;;53;2714;6;;99;1;43;;17;42;1163;320;;56;;35;37;172;3;1;18;50;289;9;1;2;83;58;;;4;200;1978;;;1;8;607;8294;70;;718;;1;;;18;43;13;4;8;;6;1998;19;547;84;212;298;262;;252;1467;7;758;104;2909;52;1;59;415;16;153;221;3;7;102;1;285;13;20;5;179;2;19;11;0;;3;15;;147;;2;2887;46;;154;3;30;14;1;59;1330;;68;10;5;275;;;84;;222;0;15;2;24;105;177;16032;78;;10;553;5361;;5109;18399;6;;2;2;;1;1;1;1;36;34;1639;1;6;20;;109909;182;0;20;187;;306;58;75;49;4;1;236;332;396;170;279;1155;1;11;;2;3;330;539;91;;1;16;73905;25;2383;16;2286;;19;1202;2;56;31521;;4;122;31;25
Democratic People's Republic of Korea;;;;;;;;;;;;155;;;;;118;;;;;;;;;;;;2163;;;;;;;;;255;;;;;;22740;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;274;1124;;;;;;;;179;;;;;;;;;;;;;;;;;;164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131;;;;;401;2214;;;;;4697;;;;102;;;;;;;;;;;;;;;;;;;;;;;;136;;;;;;;;;440;;;;;;;;;;;;;;;249;;792;;;;;;682;;;;;
Democratic Republic of the Congo;;;;;;262085;;;;;;;;;;;;;;;;;;;;;;;;;;;;35964;;;;;;;;;;;;;;;9470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82016;;;;;;;;;;;;;;;;;;;;;57555;;;;16643;;;;;;;;;;;;;;;;;;;30111;;;;;;;;;;;;;;;;
Denmark;6641;173;924;;1;129;;2;1043;544;3;2115;1652;187;12;88;553;29;396;1501;8;44;0;148;293;;18867;66;2280;;4;1760;39;385;22;162;348;3206;;6;9;;1403;7229;503;0;2522;17;377;1;119;365;665;302;;155;558;306;395;;19;10;103;462;1415;62;;152;775;1384;10897;;23;3802;5231;0;0;6;548;143;31751;1324;;1274;13871;9;0;;182;73;39;100;140;;91;2199;7375;6356;870;12029;17645;1286;;1575;4199;144;1525;1055;96;1203;2;1160;18;38;1689;12571;42;130;194;16;3153;334;38;64;555;5;32;79;0;0;28;128;;694;;11;41;1023;;5157;155;660;48;;820;5694;;648;153;12;838;;;18050;16;10796;;53;8;60;769;6663;19008;943;0;50;8532;188;0;4233;4232;227;;;4;;8;15;1;0;220;107;3736;20;293;530;;504;152;3;11017;1312;;3645;8033;0;440;28;44;20693;2218;1714;16;8184;1976;;121;;9;157;805;31925;10;;;1159;3602;258;15496;902;9906;;213;147;4;498;9301;;;148;441;310
Djibouti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;218;;
Dominica;;;;;;;13;357;;;32;5;;;8;;;117;;;;;;;;;;;;60;;;;;;;;129;;;;;;27;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;56;16;;;;;21;;;;;;27;;;;;133;1071;;;;;19;;;;;;;;91;;;;;;;;;;23;;;;;;;;;;;;;;101;;;;;;;;;114;;;;;;;7;;;;;35;;;;;;;;;;;;;;12;;;;;;;;;44;198;;88;;;;;;;;;;;;;;;;;;;;;13;;;;12;;;;;;;;215;;;;;;;;;446;;439;;;;;21;;;;;;
Dominican Republic;;;;;;;101;248;2129;;278;60;690;;74;23;;;;422;;;13;10;304;;6;;889;43;;254;;4;4;130;13;2761;;68;4;;1460;2920;;;4593;;;10;1097;;;6008;;;22;;;55;;22;;859;;351;;;;;;;;41;2518;;;;;;3905;;;88;;;86;;495;;;39;271273;;467;41;;221;;57;17;47;;143;6070;321;934;;7;;;;;;;511;;;;;;;;;31;;;32;;47;;;;1777;;;;;;29;;;;;;636;;;393;;38;;;67;;139;;788;;50;1899;94;312;149;8265;;604;9;;39;405;;104;112;;55;;;;;23;;145;;;;;;;;;154;;7864;;124;;76;;261;1808;59;;;16;;;;;72;;59;;19;;;110;;586;;17858;328;1083;;;11299;;13;;;;
Ecuador;27;35;24;;;21;;;2643;19;;183;268;;24;;;;;419;;;;;748;;;;1299;;;95;;;;;22;1146;;;;;5551;1433;48;;93022;;;;459;;40;1466;;;155;238;;90;;;173;;41;256;;;;;;26;;62;1108;;;;16;;2156;19;;35;;;;;211;;;;47;;230;106;;112;32;94;17;98;;255;1882;19;360;35;;;;;;;;217;;;;;;;;;17;;;;;;;;;1106;;;;;;24;;;;;;406;;55;192;;24;;;115;;26;;472;;119;6708;61;153;179;245;;397;;;148;732;;;;;;;;;;44;;;;;;;24;;;;60;;3658;;48;;;;171;961;32;;;1;;;;;22;;;;;;;197;;1056;;13118;;469;;;4357;24;;;;;
Egypt;183;105;771;;;25;;15;218;140;;410;526;29;13;350;221;;243;489;;32;;;;;55;;114;;60;60;57;32;;;110;552;;51;290;;24;669;;;51;791;65;;;200;90;;;75;176;90;114;263;323;;;11;;185;;462;23;569;;;;217;2487;;;;26;;6725;205;8;1112;;;;;8;125;81;;;;;117;;1083;2508;132;9278;83;;617;3641;;1004;4567;185;120;;2605;55;;;2767;;42;4368;;;;36;25;2456;25;188;;;;136;;;57;;71;13;;;924;15;11;233;;;864;;81;;102;706;;;106;473;538;;;;;;954;331;40;;348;260;55;;211;6521;39;;;;;;;;;7128;370;;18;55;125;;55;;;17739;195;;361;195;117556;24677;;;308;1188;6606;113;937;105;;;;;;681;779;42;;;76;149;623;2737;127;5257;;;98;;30;;;;4961;23;30
El Salvador;;;;;;;;;187;;;24;11;;;;6;37;;50;272;;;;48;;;;215;;;;;;;;;242;;;;;214;218;8;;458;;;;829;;;102;;;;;;;;;56;108;;;;;;;;;;;178;;;;;;224;;;;;;;;7367;;;;;;10362;;;11;;16;;12;;55;252;10;44;;;;;;;;;;;;;;;;;;;;;;;;;;;1541;;;;;;;;;;;;34;;;6024;;;;;;;;;394;;13;198;18;;12;59;;119;;;;17;;;;;;;;;;;;;;;;;;;;;;;493;;43;;;;30;54;;;;;;;;;;;;;;;;;;82;;4871;;70;;;206;;;;;;
Equatorial Guinea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2776;;;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;909;;;;;;;;;;;;;;779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eritrea;;;;;;480;;;;;;;;;;;;;;;;;;;;;;;;;;;;1347;;;;;;;;;;115;;;;141;;;;;;;;;;;1442;;;;;;;;;;;99;;;;;320;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;;;;;;;281;;;;;;;;;;;;;;551;;;;;;;;;;;;;;;;;992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;436;;;;;;;;;;;;;;;;;;;2096;154;1375;;;;192;;;;;;;;;;;;;;;;;;;1345;;;49;446;;;;;;;;;;;194;243
Estonia;0;;;;;;;;;645;;;;1525;;;;;13834;;;;;;;;;;;;;;;;;;;87;;;;;;163;;;;;;;;;;;;;;;;94;;;;;;;;;;;;;;1891;151;;;;;1592;1174;;;;;;;;;;;;;;;88;;82;;;;;;;;;;;3968;;;;581;;4292;;;;;;2052;;;;;;;;;;;;;;;;56;;;;;;;;;;;;;;;;;;;;;;;;;;550;;;;;881;;;172571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;321;;;381;;;;;;;;;;366;;;;24004;;295;;409;;;1133;;;;;;;;
