Country,code,immigration,emigration,sold,population,norm_sold
Kiribati,KIR,2644,4717,-2073,119446,-0,017355123
Saint_Kitts_and_Nevis,KNA,3521,39132,-35611,53192,-0,669480373
Republic_of_Korea,KOR,1283629,2345840,-1062211,51780579,-0,020513695
Kuwait,KWT,2751639,187871,2563768,4270563,0,600334897
Lao_People's_Democratic_Republic,LAO,17933,1345075,-1327142,7275556,-0,182411076
Lebanon,LBN,1996163,798140,1198023,6825442,0,175523138
Liberia,LBR,108166,276630,-168464,5057677,-0,033308572
Libya,LBY,771146,141623,629523,6871287,0,091616461
Saint_Lucia,LCA,8296,55414,-47118,183629,-0,256593457
Liechtenstein,LIE,23089,3870,19219,38137,0,503946299
Sri_Lanka,LKA,36850,1637385,-1600535,21919000,-0,073020439
Lesotho,LSO,3932,363763,-359831,2142252,-0,167968568
Lithuania,LTU,135699,544120,-408421,2794700,-0,146141267
Luxembourg,LUX,248964,61058,187906,632275,0,297190305
Latvia,LVA,263126,337678,-74552,1901548,-0,039205952
Macao,MAC,318113,140395,177718,649342,0,273689366
Morocco,MAR,72288,2834641,-2762353,36910558,-0,074839102
Monaco,MCO,10795,28626,-17831,39244,-0,45436245
Republic_of_Moldova,MDA,138431,888610,-750179,2617820,-0,286566303
Madagascar,MDG,23463,169984,-146521,27691019,-0,005291282
Maldives,MDV,88681,2844,85837,540542,0,158798021
Mexico,MEX,1188870,12339062,-11150192,464554123,-0,024001922
Marshall_Islands,MHL,2924,6901,-3977,128932753,-3,08455E-05
The_former_Yugoslav_Republic_of_Macedonia,MKD,129202,516024,-386822,59194,-6,534817718
Mali,MLI,243182,1005607,-762425,2083380,-0,365955803
Malta,MLT,40425,103392,-62967,20250834,-0,003109353
Myanmar,MMR,63860,2881797,-2817937,525285,-5,364586843
Montenegro,MNE,81568,138356,-56788,54409794,-0,001043709
Mongolia,MNG,17016,59266,-42250,621718,-0,067956855
Northern_Mariana_Islands,MNP,20715,2649,18066,3278292,0,005510796
Mozambique,MOZ,150498,713867,-563369,57557,-9,788018834
Mauritania,MRT,105999,119334,-13335,31255435,-0,000426646
Montserrat,MSR,1118,17744,-16626,4649660,-0,003575745
Martinique,MTQ,59997,13618,46379,1265740,0,036641806
Malawi,MWI,168314,302515,-134201,19129955,-0,007015228
Malaysia,MYS,2318973,1835252,483721,32365998,0,014945345
Namibia,NAM,91826,145852,-54026,2540916,-0,021262411
New_Caledonia,NCL,58254,6330,51924,271960,0,190925136
Niger,NER,157577,356793,-199216,24206636,-0,008229809
Nigeria,NGA,1076442,1093644,-17202,206139587,-8,34483E-05
Nicaragua,NIC,38345,638958,-600613,6624554,-0,09066467
Netherlands,NLD,1974046,981434,992612,17441139,0,056912109
Norway,NOR,731248,193477,537771,5379475,0,09996719
Nepal,NPL,497086,1629306,-1132220,29136808,-0,038858752
Nauru,NRU,2271,2391,-120,10834,-0,011076241
New_Zealand,NZL,998715,802335,196380,5084300,0,038624786
Oman,OMN,1752641,21333,1731308,5106622,0,339031947
Pakistan,PAK,3625927,5935193,-2309266,220892331,-0,010454261
Panama,PAN,184061,142706,41355,4314768,0,009584525
Peru,PER,89524,1409676,-1320152,32971846,-0,040038765
Philippines,PHL,155943,5316320,-5160377,109581085,-0,047091859
Palau,PLW,5033,2552,2481,18092,0,137132434
Papua_New_Guinea,PNG,24647,4631,20016,8947027,0,002237168
Poland,POL,612185,4449789,-3837604,37950802,-0,101120498
Puerto_Rico,PRI,259070,1768384,-1509314,3194034,-0,47254162
Dem._Rep._Korea,PRK,46325,112783,-66458,25778815,-0,002578008
Portugal,PRT,833875,2306321,-1472446,10305564,-0,14287874
Paraguay,PRY,152664,845373,-692709,7132530,-0,097119676
State_of_Palestine,PSE,232708,3551185,-3318477,4803269,-0,690878858
French_Polynesia,PYF,26208,1337,24871,280904,0,088539145
Qatar,QAT,1654997,25681,1629316,2881060,0,565526577
Romania,ROU,203845,3408118,-3204273,19286123,-0,166143968
Russian_Federation,RUS,11642651,10576766,1065885,144104080,0,007396633
Rwanda,RWA,432675,315866,116809,12952209,0,009018462
Saudi_Arabia,SAU,9842647,270029,9572618,34813867,0,274965662
Sudan,SDN,481672,1890861,-1409189,43849269,-0,032137115
Senegal,SEN,221160,586870,-365710,16743930,-0,021841348
Singapore,SGP,2261026,313884,1947142,5685807,0,342456577
Solomon_Islands,SLB,2005,3833,-1828,686878,-0,002661317
Sierra_Leone,SLE,90246,145003,-54757,7976985,-0,006864373
El_Salvador,SLV,41918,1436158,-1394240,6486201,-0,214954794
San_Marino,SMR,4540,2303,2237,33938,0,065914314
Somalia,SOM,2113,1998764,-1996651,15893219,-0,125629113
Saint_Pierre_and_Miquelon,SPM,967,435,532,6908224,7,70097E-05
Serbia,SRB,806777,964585,-157808,11193729,-0,014097894
South_Sudan,SSD,821625,634613,187012,41913035,0,004461905
Sao_Tome_and_Principe,STP,2338,35833,-33495,219161,-0,152832849
Suriname,SUR,27487,267800,-240313,586634,-0,409647242
Slovakia,SVK,176420,341620,-165200,5458827,-0,030262912
Slovenia,SVN,235467,140490,94977,2100126,0,045224429
Sweden,SWE,1544951,333428,1211523,10353442,0,117016447
Swaziland,SWZ,24455,95671,-71216,1160164,-0,061384425
Sint_Maarten_(Dutch_part),SXM,24966,23811,1155,40812,0,0283005
Seychelles,SYC,12396,11772,624,98462,0,00633747
Syrian_Arab_Republic,SYR,497309,5011509,-4514200,17500657,-0,257944602
Turks_and_Caicos_Islands,TCA,9738,1878,7860,38718,0,203006354
Chad,TCD,503624,208137,295487,16425859,0,017989135
Togo,TGO,255407,446982,-191575,8278737,-0,023140607
Thailand,THA,3912191,854327,3057864,69799978,0,043808954
Tajikistan,TJK,274780,589748,-314968,9537642,-0,033023676
Turkmenistan,TKM,193860,242948,-49088,6031187,-0,008139028
Timor-Leste,TLS,9540,37311,-27771,1318442,-0,021063498
Tonga,TON,1619,56524,-54905,105697,-0,51945656
Trinidad_and_Tobago,TTO,42406,363332,-320926,1399491,-0,22931623
Tunisia,TUN,45715,651044,-605329,11818618,-0,051218256
Turkey,TUR,2851301,3114471,-263170,84339067,-0,003120381
Tuvalu,TUV,111,3472,-3361,11792,-0,285023745
United_Republic_of_Tanzania,TZA,254012,294531,-40519,59734213,-0,000678321
Uganda,UGA,702133,736017,-33884,45741000,-0,00074078
Ukraine,UKR,4494136,5825745,-1331609,44134693,-0,03017148
Uruguay,URY,68301,346976,-278675,3473727,-0,080223633
United_States_of_America,USA,43548356,3023657,40524699,329484123,0,122994391
Uzbekistan,UZB,1094008,1991040,-897032,34232050,-0,026204449
Saint_Vincent_and_the_Grenadines,VCT,4289,60424,-56135,110947,-0,505962306
Venezuela_(Bolivarian_Republic_of),VEN,1404256,606344,797912,28435943,0,02805998
British_Virgin_Islands,VGB,14576,4624,9952,30237,0,329133181
United_States_Virgin_Islands,VIR,55554,3407,52147,106290,0,490610594
Viet_Nam,VNM,67490,2558678,-2491188,97338583,-0,025593017
Vanuatu,VUT,2278,8583,-6305,307150,-0,02052743
Samoa,WSM,4494,113139,-108645,198410,-0,547578247
Yemen,YEM,307133,1012889,-705756,29825968,-0,023662468
South_Africa,ZAF,2722348,841120,1881228,59308690,0,031719264
Zambia,ZMB,107341,238121,-130780,18383956,-0,007113812
Zimbabwe,ZWE,257349,856345,-598996,14862927,-0,040301348
,,,,,,
,,,,,,-9,788018834
